r,N_ipsat
0.301458,0.156651
0.301852,0.157026
0.302247,0.1574
0.302641,0.157775
0.303036,0.15815
0.30343,0.158526
0.303825,0.158902
0.30422,0.159278
0.304614,0.159655
0.305009,0.160032
0.305403,0.160409
0.305798,0.160787
0.306192,0.161164
0.306587,0.161543
0.306981,0.161921
0.307376,0.1623
0.307771,0.162679
0.308165,0.163058
0.30856,0.163438
0.308954,0.163817
0.309349,0.164198
0.309743,0.164578
0.310138,0.164959
0.310532,0.16534
0.310927,0.165721
0.311321,0.166103
0.311716,0.166484
0.312111,0.166866
0.312505,0.167249
0.3129,0.167631
0.313294,0.168014
0.313689,0.168398
0.314083,0.168781
0.314478,0.169165
0.314872,0.169549
0.315267,0.169933
0.315662,0.170318
0.316056,0.170702
0.316451,0.171087
0.316845,0.171473
0.31724,0.171858
0.317634,0.172244
0.318029,0.17263
0.318423,0.173017
0.318818,0.173404
0.319213,0.17379
0.319607,0.174178
0.320002,0.174565
0.320396,0.174953
0.320791,0.175341
0.321185,0.175729
0.32158,0.176118
0.321974,0.176506
0.322369,0.176895
0.322763,0.177285
0.323158,0.177674
0.323553,0.178064
0.323947,0.178454
0.324342,0.178844
0.324736,0.179235
0.325131,0.179625
0.325525,0.180016
0.32592,0.180408
0.326314,0.180799
0.326709,0.181191
0.327104,0.181583
0.327498,0.181975
0.327893,0.182368
0.328287,0.18276
0.328682,0.183153
0.329076,0.183546
0.329471,0.18394
0.329865,0.184334
0.33026,0.184727
0.330655,0.185122
0.331049,0.185516
0.331444,0.185911
0.331838,0.186306
0.332233,0.186701
0.332627,0.187096
0.333022,0.187492
0.333416,0.187887
0.333811,0.188283
0.334206,0.18868
0.3346,0.189076
0.334995,0.189473
0.335389,0.18987
0.335784,0.190267
0.336178,0.190665
0.336573,0.191062
0.336967,0.19146
0.337362,0.191858
0.337756,0.192257
0.338151,0.192655
0.338546,0.193053
0.33894,0.193452
0.339335,0.19385
0.339729,0.194249
0.340124,0.194648
0.340518,0.195048
0.340913,0.195447
0.341307,0.195847
0.341702,0.196247
0.342097,0.196647
0.342491,0.197048
0.342886,0.197449
0.34328,0.197849
0.343675,0.198251
0.344069,0.198652
0.344464,0.199053
0.344858,0.199455
0.345253,0.199857
0.345648,0.200259
0.346042,0.200662
0.346437,0.201064
0.346831,0.201467
0.347226,0.20187
0.34762,0.202273
0.348015,0.202677
0.348409,0.203081
0.348804,0.203484
0.349198,0.203889
0.349593,0.204295
0.349988,0.204702
0.350382,0.20511
0.350777,0.205517
0.351171,0.205925
0.351566,0.206333
0.35196,0.206742
0.352355,0.20715
0.352749,0.207559
0.353144,0.207968
0.353539,0.208377
0.353933,0.208787
0.354328,0.209196
0.354722,0.209606
0.355117,0.210016
0.355511,0.210426
0.355906,0.210837
0.3563,0.211247
0.356695,0.211658
0.35709,0.212069
0.357484,0.21248
0.357879,0.212892
0.358273,0.213303
0.358668,0.213715
0.359062,0.214127
0.359457,0.21454
0.359851,0.214952
0.360246,0.215365
0.360641,0.215778
0.361035,0.216191
0.36143,0.216604
0.361824,0.217018
0.362219,0.217431
0.362613,0.217845
0.363008,0.218259
0.363402,0.218674
0.363797,0.219088
0.364191,0.219503
0.364586,0.219918
0.364981,0.220333
0.365375,0.220748
0.36577,0.221163
0.366164,0.221579
0.366559,0.221995
0.366953,0.222411
0.367348,0.222827
0.367742,0.223244
0.368137,0.22366
0.368532,0.224077
0.368926,0.224494
0.369321,0.224911
0.369715,0.225329
0.37011,0.225747
0.370504,0.226164
0.370899,0.226582
0.371293,0.227001
0.371688,0.227419
0.372083,0.227837
0.372477,0.228256
0.372872,0.228675
0.373266,0.229094
0.373661,0.229514
0.374055,0.229933
0.37445,0.230353
0.374844,0.230773
0.375239,0.231193
0.375633,0.231613
0.376028,0.232033
0.376423,0.232454
0.376817,0.232875
0.377212,0.233296
0.377606,0.233717
0.378001,0.234138
0.378395,0.23456
0.37879,0.234982
0.379184,0.235403
0.379579,0.235825
0.379974,0.236248
0.380368,0.23667
0.380763,0.237093
0.381157,0.237516
0.381552,0.237939
0.381946,0.238362
0.382341,0.238785
0.382735,0.239209
0.38313,0.239632
0.383525,0.240056
0.383919,0.24048
0.384314,0.240905
0.384708,0.241329
0.385103,0.241754
0.385497,0.242178
0.385892,0.242603
0.386286,0.243029
0.386681,0.243454
0.387076,0.243879
0.38747,0.244305
0.387865,0.244731
0.388259,0.245157
0.388654,0.245583
0.389048,0.246009
0.389443,0.246436
0.389837,0.246862
0.390232,0.247289
0.390626,0.247716
0.391021,0.248143
0.391416,0.248571
0.39181,0.248998
0.392205,0.249426
0.392599,0.249854
0.392994,0.250282
0.393388,0.25071
0.393783,0.251138
0.394177,0.251567
0.394572,0.251995
0.394967,0.252424
0.395361,0.252853
0.395756,0.253282
0.39615,0.253712
0.396545,0.254141
0.396939,0.254571
0.397334,0.255
0.397728,0.25543
0.398123,0.25586
0.398518,0.256291
0.398912,0.256721
0.399307,0.257151
0.399701,0.257582
0.400096,0.258013
0.40049,0.258444
0.400885,0.258875
0.401279,0.259306
0.401674,0.259738
0.402069,0.260169
0.402463,0.260601
0.402858,0.261033
0.403252,0.261465
0.403647,0.261897
0.404041,0.26233
0.404436,0.262762
0.40483,0.263195
0.405225,0.263628
0.405619,0.264061
0.406014,0.264494
0.406409,0.264927
0.406803,0.26536
0.407198,0.265794
0.407592,0.266228
0.407987,0.266661
0.408381,0.267095
0.408776,0.26753
0.40917,0.267964
0.409565,0.268398
0.40996,0.268833
0.410354,0.269267
0.410749,0.269702
0.411143,0.270137
0.411538,0.270572
0.411932,0.271008
0.412327,0.271443
0.412721,0.271878
0.413116,0.272314
0.413511,0.27275
0.413905,0.273186
0.4143,0.273622
0.414694,0.274058
0.415089,0.274494
0.415483,0.274931
0.415878,0.275367
0.416272,0.275804
0.416667,0.276241
0.417061,0.276678
0.417456,0.277115
0.417851,0.277552
0.418245,0.27799
0.41864,0.278427
0.419034,0.278865
0.419429,0.279303
0.419823,0.279741
0.420218,0.280179
0.420612,0.280617
0.421007,0.281055
0.421402,0.281493
0.421796,0.281932
0.422191,0.282371
0.422585,0.282809
0.42298,0.283248
0.423374,0.283687
0.423769,0.284127
0.424163,0.284566
0.424558,0.285005
0.424953,0.285445
0.425347,0.285884
0.425742,0.286324
0.426136,0.286764
0.426531,0.287204
0.426925,0.287644
0.42732,0.288084
0.427714,0.288525
0.428109,0.288965
0.428504,0.289406
0.428898,0.289847
0.429293,0.290287
0.429687,0.290728
0.430082,0.291169
0.430476,0.291611
0.430871,0.292052
0.431265,0.292493
0.43166,0.292935
0.432054,0.293376
0.432449,0.293818
0.432844,0.29426
0.433238,0.294702
0.433633,0.295144
0.434027,0.295586
0.434422,0.296029
0.434816,0.296471
0.435211,0.296913
0.435605,0.297356
0.436,0.297799
0.436395,0.298242
0.436789,0.298685
0.437184,0.299128
0.437578,0.299571
0.437973,0.300014
0.438367,0.300457
0.438762,0.300901
0.439156,0.301344
0.439551,0.301788
0.439946,0.302232
0.44034,0.302676
0.440735,0.30312
0.441129,0.303564
0.441524,0.304008
0.441918,0.304452
0.442313,0.304896
0.442707,0.305341
0.443102,0.305785
0.443496,0.30623
0.443891,0.306675
