r2,N_ipsat
0.753884,0.172349
0.757362,0.172881
0.760847,0.173413
0.764341,0.173945
0.767843,0.174477
0.771353,0.175009
0.77487,0.175541
0.778396,0.176074
0.78193,0.176606
0.785472,0.177139
0.789021,0.177671
0.792579,0.178204
0.796145,0.178736
0.799719,0.179269
0.8033,0.179801
0.80689,0.180334
0.810488,0.180867
0.814094,0.1814
0.817707,0.181933
0.821329,0.182465
0.824959,0.182998
0.828597,0.183531
0.832243,0.184064
0.835896,0.184597
0.839558,0.185131
0.843228,0.185664
0.846906,0.186197
0.850592,0.18673
0.854285,0.187263
0.857987,0.187796
0.861697,0.18833
0.865415,0.188863
0.869141,0.189396
0.872874,0.18993
0.876616,0.190463
0.880366,0.190997
0.884124,0.19153
0.88789,0.192064
0.891664,0.192597
0.895445,0.193131
0.899235,0.193664
0.903033,0.194198
0.906839,0.194731
0.910653,0.195265
0.914475,0.195799
0.918304,0.196332
0.922142,0.196866
0.925988,0.1974
0.929842,0.197934
0.933704,0.198467
0.937574,0.199001
0.941452,0.199535
0.945338,0.200069
0.949231,0.200603
0.953133,0.201136
0.957043,0.20167
0.960961,0.202204
0.964887,0.202738
0.968821,0.203272
0.972763,0.203806
0.976713,0.20434
0.980671,0.204874
0.984637,0.205408
0.98861,0.205942
0.992592,0.206476
0.996582,0.20701
1.00058,0.207544
1.00459,0.208078
1.0086,0.208612
1.01262,0.209146
1.01665,0.20968
1.02069,0.210214
1.02474,0.210748
1.02879,0.211282
1.03285,0.211816
1.03692,0.21235
1.041,0.212884
1.04509,0.213418
1.04918,0.213952
1.05328,0.214486
1.05739,0.21502
1.06151,0.215554
1.06564,0.216088
1.06977,0.216622
1.07391,0.217156
1.07806,0.21769
1.08222,0.218224
1.08639,0.218758
1.09056,0.219293
1.09474,0.219827
1.09893,0.220361
1.10313,0.220895
1.10734,0.221429
1.11155,0.221963
1.11577,0.222497
1.12,0.223031
1.12424,0.223565
1.12849,0.224099
1.13274,0.224633
1.137,0.225167
1.14127,0.225701
1.14555,0.226235
1.14984,0.226769
1.15413,0.227303
1.15843,0.227837
1.16274,0.228371
1.16706,0.228905
1.17139,0.229439
1.17572,0.229973
1.18006,0.230507
1.18441,0.231041
1.18877,0.231575
1.19314,0.232109
1.19751,0.232643
1.20189,0.233176
1.20628,0.23371
1.21068,0.234244
1.21509,0.234778
1.2195,0.235312
1.22392,0.235846
1.22835,0.23638
1.23279,0.236913
1.23724,0.237447
1.24169,0.237981
1.24615,0.238515
1.25062,0.239049
1.2551,0.239582
1.25959,0.240116
1.26408,0.24065
1.26858,0.241184
1.27309,0.241717
1.27761,0.242251
1.28214,0.242785
1.28667,0.243318
1.29121,0.243852
1.29576,0.244386
1.30032,0.244919
1.30489,0.245453
1.30946,0.245986
1.31404,0.24652
1.31863,0.247053
1.32323,0.247587
1.32784,0.24812
1.33245,0.248654
1.33708,0.249187
1.34171,0.249721
1.34634,0.250254
1.35099,0.250788
1.35564,0.251321
1.36031,0.251855
1.36498,0.252388
1.36965,0.252921
1.37434,0.253455
1.37903,0.253988
1.38374,0.254521
1.38845,0.255055
1.39317,0.255588
1.39789,0.256121
1.40263,0.256654
1.40737,0.257187
1.41212,0.257721
1.41688,0.258254
1.42164,0.258787
1.42642,0.25932
1.4312,0.259853
1.43599,0.260386
1.44079,0.260919
1.44559,0.261452
1.45041,0.261985
1.45523,0.262518
1.46006,0.263051
1.4649,0.263584
1.46974,0.264117
1.4746,0.26465
1.47946,0.265183
1.48433,0.265716
1.48921,0.266249
1.4941,0.266781
1.49899,0.267314
1.50389,0.267847
1.5088,0.26838
1.51372,0.268912
1.51865,0.269445
1.52358,0.269978
1.52852,0.27051
1.53347,0.271043
1.53843,0.271576
1.5434,0.272108
1.54837,0.272641
1.55336,0.273173
1.55835,0.273706
1.56334,0.274238
1.56835,0.274771
1.57336,0.275303
1.57839,0.275836
1.58342,0.276368
1.58846,0.2769
1.5935,0.277433
1.59856,0.277965
1.60362,0.278497
1.60869,0.27903
1.61377,0.279562
1.61885,0.280094
1.62395,0.280626
1.62905,0.281158
1.63416,0.28169
1.63928,0.282222
1.64441,0.282755
1.64954,0.283287
1.65468,0.283819
1.65983,0.284351
1.66499,0.284882
1.67016,0.285414
1.67533,0.285946
1.68051,0.286478
1.6857,0.28701
1.6909,0.287542
1.69611,0.288074
1.70132,0.288605
1.70655,0.289137
1.71178,0.289669
1.71701,0.2902
1.72226,0.290732
1.72752,0.291264
1.73278,0.291795
1.73805,0.292327
1.74333,0.292858
1.74861,0.29339
1.75391,0.293921
1.75921,0.294453
1.76452,0.294984
1.76984,0.295516
1.77516,0.296047
1.7805,0.296578
1.78584,0.29711
1.79119,0.297641
1.79655,0.298172
1.80192,0.298703
1.80729,0.299234
1.81267,0.299766
1.81806,0.300297
1.82346,0.300828
1.82887,0.301359
1.83428,0.30189
1.83971,0.302421
1.84514,0.302952
1.85058,0.303483
1.85602,0.304013
1.86148,0.304544
1.86694,0.305075
1.87241,0.305606
1.87789,0.306137
1.88337,0.306667
1.88887,0.307198
1.89437,0.307729
1.89988,0.308259
1.9054,0.30879
1.91093,0.309321
1.91646,0.309851
1.922,0.310382
1.92755,0.310912
1.93311,0.311442
1.93868,0.311973
1.94425,0.312503
1.94984,0.313033
1.95543,0.313564
1.96103,0.314094
1.96663,0.314624
1.97225,0.315154
1.97787,0.315685
1.9835,0.316215
1.98914,0.316745
1.99478,0.317275
2.00044,0.317805
2.0061,0.318335
2.01177,0.318865
2.01745,0.319395
2.02314,0.319924
2.02883,0.320454
2.03453,0.320984
2.04024,0.321514
2.04596,0.322044
2.05169,0.322573
2.05742,0.323103
2.06317,0.323632
2.06892,0.324162
2.07468,0.324692
2.08044,0.325221
2.08622,0.325751
2.092,0.32628
2.09779,0.326809
2.10359,0.327339
2.1094,0.327868
2.11521,0.328397
2.12103,0.328926
2.12686,0.329456
2.1327,0.329985
2.13855,0.330514
2.1444,0.331043
2.15027,0.331572
2.15614,0.332101
2.16202,0.33263
2.1679,0.333159
2.1738,0.333688
2.1797,0.334217
2.18561,0.334745
2.19153,0.335274
2.19746,0.335803
2.20339,0.336332
2.20933,0.33686
2.21528,0.337389
2.22124,0.337917
2.22721,0.338446
2.23318,0.338974
2.23917,0.339503
2.24516,0.340031
2.25116,0.340559
2.25716,0.341088
2.26318,0.341616
2.2692,0.342144
2.27523,0.342672
2.28127,0.3432
2.28732,0.343729
2.29337,0.344257
2.29943,0.344785
2.3055,0.345313
2.31158,0.34584
2.31767,0.346368
2.32376,0.346896
2.32987,0.347424
2.33598,0.347952
2.3421,0.348479
2.34822,0.349007
2.35436,0.349535
2.3605,0.350062
2.36665,0.35059
2.37281,0.351117
2.37898,0.351645
2.38515,0.352173
2.39133,0.352701
2.39752,0.353229
2.40372,0.353757
2.40993,0.354285
2.41614,0.354813
2.42237,0.35534
2.4286,0.355868
2.43484,0.356395
2.44108,0.356923
2.44734,0.35745
2.4536,0.357978
2.45987,0.358505
2.46615,0.359032
2.47244,0.35956
2.47873,0.360087
2.48504,0.360614
2.49135,0.361141
2.49766,0.361668
2.50399,0.362195
2.51033,0.362722
2.51667,0.363249
2.52302,0.363775
2.52938,0.364302
2.53575,0.364829
2.54212,0.365355
2.5485,0.365882
2.55489,0.366408
2.56129,0.366934
2.5677,0.367461
2.57411,0.367987
2.58054,0.368513
2.58697,0.369039
2.59341,0.369565
2.59985,0.370091
2.60631,0.370617
2.61277,0.371143
2.61924,0.371669
2.62572,0.372194
2.63221,0.37272
2.6387,0.373245
2.64521,0.373771
2.65172,0.374296
2.65824,0.374821
2.66476,0.375346
2.6713,0.375872
2.67784,0.376397
2.68439,0.376922
2.69095,0.377446
2.69752,0.377971
2.70409,0.378496
2.71068,0.379021
2.71727,0.379545
2.72386,0.38007
2.73047,0.380594
2.73709,0.381118
2.74371,0.381642
2.75034,0.382166
2.75698,0.382691
2.76363,0.383214
2.77028,0.383738
2.77694,0.384262
2.78362,0.384786
2.79029,0.385309
2.79698,0.385833
2.80368,0.386356
2.81038,0.38688
2.81709,0.387403
2.82381,0.387926
2.83054,0.388449
2.83727,0.388972
2.84401,0.389495
2.85076,0.390017
2.85752,0.39054
2.86429,0.391063
2.87107,0.391585
2.87785,0.392108
2.88464,0.39263
2.89144,0.393152
2.89825,0.393674
2.90506,0.394196
2.91188,0.394718
2.91871,0.39524
2.92555,0.395761
2.9324,0.396283
2.93926,0.396804
2.94612,0.397325
2.95299,0.397845
2.95987,0.398365
2.96676,0.398885
2.97365,0.399405
2.98055,0.399925
2.98746,0.400445
2.99438,0.400965
3.00131,0.401484
3.00825,0.402004
3.01519,0.402523
3.02214,0.403042
3.0291,0.403561
3.03607,0.40408
3.04304,0.404599
3.05002,0.405118
3.05702,0.405637
3.06401,0.406156
3.07102,0.406674
3.07804,0.407193
3.08506,0.407711
3.09209,0.408229
