r²,N_GBW
0.895463,0.163273
0.899253,0.163904
0.903051,0.164536
0.906857,0.165169
0.910671,0.165802
0.914493,0.166437
0.918323,0.167072
0.922161,0.167708
0.926007,0.168345
0.929861,0.168983
0.933723,0.169621
0.937593,0.170261
0.941471,0.170901
0.945356,0.171542
0.94925,0.172184
0.953152,0.172827
0.957062,0.17347
0.96098,0.174115
0.964906,0.17476
0.96884,0.175406
0.972782,0.176053
0.976732,0.1767
0.98069,0.177349
0.984656,0.177998
0.98863,0.178648
0.992612,0.179299
0.996602,0.17995
1.0006,0.180602
1.00461,0.181256
1.00862,0.18191
1.01264,0.182564
1.01667,0.18322
1.02071,0.183876
1.02476,0.184533
1.02881,0.185191
1.03287,0.185849
1.03694,0.186509
1.04102,0.187169
1.04511,0.18783
1.0492,0.188491
1.0533,0.189154
1.05741,0.189817
1.06153,0.19048
1.06566,0.191145
1.06979,0.19181
1.07393,0.192476
1.07808,0.193143
1.08224,0.193811
1.08641,0.194479
1.09058,0.195148
1.09476,0.195818
1.09895,0.196488
1.10315,0.197159
1.10736,0.197831
1.11157,0.198504
1.11579,0.199177
1.12002,0.199851
1.12426,0.200526
1.12851,0.201201
1.13276,0.201877
1.13702,0.202554
1.14129,0.203232
1.14557,0.20391
1.14986,0.204589
1.15415,0.205268
1.15845,0.205949
1.16276,0.20663
1.16708,0.207311
1.17141,0.207994
1.17574,0.208677
1.18009,0.20936
1.18444,0.210045
1.18879,0.21073
1.19316,0.211415
1.19753,0.212101
1.20192,0.212788
1.20631,0.213476
1.2107,0.214164
1.21511,0.214853
1.21952,0.215543
1.22395,0.216233
1.22838,0.216924
1.23282,0.217615
1.23726,0.218307
1.24172,0.219
1.24618,0.219693
1.25065,0.220387
1.25513,0.221082
1.25961,0.221777
1.26411,0.222473
1.26861,0.22317
1.27312,0.223867
1.27764,0.224564
1.28216,0.225263
1.2867,0.225962
1.29124,0.226661
1.29579,0.227361
1.30035,0.228062
1.30491,0.228763
1.30949,0.229465
1.31407,0.230168
1.31866,0.230871
1.32326,0.231574
1.32787,0.232278
1.33248,0.232983
1.3371,0.233689
1.34173,0.234395
1.34637,0.235101
1.35102,0.235808
1.35567,0.236516
1.36033,0.237224
1.365,0.237933
1.36968,0.238642
1.37437,0.239352
1.37906,0.240062
1.38376,0.240773
1.38847,0.241485
1.39319,0.242197
1.39792,0.242909
1.40265,0.243622
1.4074,0.244336
1.41215,0.24505
1.4169,0.245765
1.42167,0.24648
1.42645,0.247196
1.43123,0.247912
1.43602,0.248629
1.44082,0.249346
1.44562,0.250064
1.45044,0.250782
1.45526,0.251501
1.46009,0.25222
1.46493,0.25294
1.46977,0.25366
1.47463,0.254381
1.47949,0.255102
1.48436,0.255824
1.48924,0.256546
1.49413,0.257269
1.49902,0.257992
1.50392,0.258716
1.50883,0.25944
1.51375,0.260165
1.51868,0.26089
1.52361,0.261615
1.52855,0.262341
1.5335,0.263068
1.53846,0.263795
1.54343,0.264522
1.5484,0.26525
1.55339,0.265978
1.55838,0.266707
1.56338,0.267436
1.56838,0.268166
1.5734,0.268896
1.57842,0.269626
1.58345,0.270357
1.58849,0.271088
1.59353,0.27182
1.59859,0.272552
1.60365,0.273285
1.60872,0.274018
1.6138,0.274752
1.61889,0.275485
1.62398,0.27622
1.62908,0.276954
1.63419,0.277689
1.63931,0.278425
1.64444,0.279161
1.64957,0.279897
1.65471,0.280634
1.65987,0.281371
1.66502,0.282108
1.67019,0.282846
1.67536,0.283584
1.68055,0.284323
1.68574,0.285062
1.69094,0.285801
1.69614,0.286541
1.70136,0.287281
1.70658,0.288022
1.71181,0.288762
1.71705,0.289504
1.7223,0.290245
1.72755,0.290987
1.73281,0.291729
1.73808,0.292472
1.74336,0.293215
1.74865,0.293958
1.75394,0.294702
1.75924,0.295446
1.76456,0.29619
1.76987,0.296935
1.7752,0.29768
1.78053,0.298425
1.78588,0.299171
1.79123,0.299916
1.79659,0.300663
1.80195,0.301409
1.80733,0.302156
1.81271,0.302903
1.8181,0.303651
1.8235,0.304399
1.82891,0.305147
1.83432,0.305895
1.83974,0.306644
1.84517,0.307393
1.85061,0.308142
1.85606,0.308892
1.86151,0.309642
1.86698,0.310392
1.87245,0.311142
1.87793,0.311893
1.88341,0.312644
1.88891,0.313395
1.89441,0.314147
1.89992,0.314899
1.90544,0.315651
1.91096,0.316403
1.9165,0.317156
1.92204,0.317909
1.92759,0.318662
1.93315,0.319415
1.93872,0.320169
1.94429,0.320923
1.94988,0.321677
1.95547,0.322431
1.96106,0.323186
1.96667,0.32394
1.97229,0.324695
1.97791,0.325451
1.98354,0.326206
1.98918,0.326962
1.99482,0.327718
2.00048,0.328474
2.00614,0.329231
2.01181,0.329987
2.01749,0.330744
2.02318,0.331501
2.02887,0.332258
2.03457,0.333016
2.04029,0.333773
2.046,0.334531
2.05173,0.335289
2.05747,0.336047
2.06321,0.336806
2.06896,0.337564
2.07472,0.338323
2.08048,0.339082
2.08626,0.339841
2.09204,0.340601
2.09783,0.34136
2.10363,0.34212
2.10944,0.34288
2.11525,0.34364
2.12108,0.3444
2.12691,0.34516
2.13274,0.345921
2.13859,0.346681
2.14445,0.347442
2.15031,0.348203
2.15618,0.348964
2.16206,0.349726
2.16795,0.350487
2.17384,0.351249
2.17974,0.35201
2.18565,0.352772
2.19157,0.353534
2.1975,0.354296
2.20343,0.355058
2.20938,0.355821
2.21533,0.356583
2.22129,0.357346
2.22725,0.358108
2.23323,0.358871
2.23921,0.359634
2.2452,0.360397
2.2512,0.36116
2.25721,0.361924
2.26322,0.362687
2.26924,0.36345
2.27528,0.364214
2.28131,0.364978
2.28736,0.365741
2.29342,0.366505
2.29948,0.367269
2.30555,0.368033
2.31163,0.368797
2.31772,0.369561
2.32381,0.370326
2.32991,0.37109
2.33602,0.371854
2.34214,0.372619
2.34827,0.373383
2.3544,0.374148
2.36055,0.374913
2.3667,0.375677
2.37286,0.376442
2.37902,0.377207
2.3852,0.377972
2.39138,0.378737
2.39757,0.379502
2.40377,0.380267
2.40998,0.381032
2.41619,0.381797
2.42242,0.382562
2.42865,0.383327
2.43489,0.384092
2.44113,0.384858
2.44739,0.385623
2.45365,0.386388
2.45992,0.387153
2.4662,0.387919
2.47249,0.388684
2.47878,0.389449
2.48509,0.390215
2.4914,0.39098
2.49771,0.391745
2.50404,0.392511
2.51038,0.393276
2.51672,0.394042
2.52307,0.394807
2.52943,0.395572
2.5358,0.396338
2.54217,0.397103
2.54855,0.397868
2.55495,0.398634
2.56134,0.399399
2.56775,0.400164
2.57417,0.40093
2.58059,0.401695
2.58702,0.40246
2.59346,0.403225
2.59991,0.403991
2.60636,0.404756
2.61282,0.405521
2.6193,0.406286
2.62577,0.407051
2.63226,0.407816
2.63876,0.408581
2.64526,0.409346
2.65177,0.41011
2.65829,0.410875
2.66482,0.41164
2.67135,0.412405
2.67789,0.413169
2.68445,0.413934
2.691,0.414698
2.69757,0.415463
2.70415,0.416227
2.71073,0.416991
2.71732,0.417755
2.72392,0.41852
2.73053,0.419284
2.73714,0.420048
2.74376,0.420811
2.7504,0.421575
2.75703,0.422339
2.76368,0.423103
2.77034,0.423866
2.777,0.424629
2.78367,0.425393
2.79035,0.426156
2.79704,0.426919
2.80373,0.427682
2.81044,0.428445
2.81715,0.429208
2.82387,0.429971
2.83059,0.430733
2.83733,0.431496
2.84407,0.432258
2.85082,0.43302
2.85758,0.433782
2.86435,0.434544
2.87112,0.435306
2.87791,0.436068
2.8847,0.436829
2.8915,0.437591
2.8983,0.438352
2.90512,0.439113
2.91194,0.439874
2.91877,0.440635
2.92561,0.441396
2.93246,0.442157
2.93931,0.442917
2.94618,0.443677
2.95305,0.444438
2.95993,0.445198
2.96681,0.445957
2.97371,0.446717
2.98061,0.447477
2.98752,0.448236
2.99444,0.448995
3.00137,0.449754
3.00831,0.450513
3.01525,0.451272
3.0222,0.45203
3.02916,0.452788
3.03613,0.453547
3.0431,0.454304
3.05009,0.455062
3.05708,0.45582
3.06408,0.456577
3.07108,0.457334
3.0781,0.458091
3.08512,0.458848
3.09215,0.459605
3.09919,0.460361
3.10624,0.461117
3.11329,0.461873
3.12036,0.462629
3.12743,0.463385
3.13451,0.46414
3.14159,0.464895
3.14869,0.46565
3.15579,0.466405
3.1629,0.46716
3.17002,0.467914
3.17715,0.468668
3.18429,0.469422
3.19143,0.470175
3.19858,0.470929
3.20574,0.471682
3.21291,0.472435
3.22008,0.473188
3.22727,0.47394
3.23446,0.474692
3.24166,0.475444
3.24886,0.476196
3.25608,0.476948
3.2633,0.477699
3.27053,0.47845
3.27777,0.479201
3.28502,0.479951
3.29228,0.480701
3.29954,0.481451
3.30681,0.482201
3.31409,0.48295
3.32138,0.4837
3.32867,0.484449
3.33598,0.485197
3.34329,0.485946
3.35061,0.486694
3.35793,0.487442
3.36527,0.488189
3.37261,0.488936
3.37996,0.489683
3.38732,0.49043
3.39469,0.491177
3.40207,0.491923
3.40945,0.492669
3.41684,0.493414
3.42424,0.49416
3.43165,0.494905
3.43906,0.495649
3.44649,0.496394
3.45392,0.497138
3.46136,0.497882
3.4688,0.498625
3.47626,0.499368
3.48372,0.500111
3.49119,0.500854
3.49867,0.501596
3.50616,0.502338
3.51366,0.50308
3.52116,0.503821
3.52867,0.504562
3.53619,0.505303
3.54372,0.506043
3.55125,0.506783
3.5588,0.507523
3.56635,0.508262
3.57391,0.509001
3.58147,0.50974
3.58905,0.510478
3.59663,0.511216
3.60423,0.511954
3.61182,0.512692
3.61943,0.513429
3.62705,0.514165
3.63467,0.514902
3.6423,0.515638
3.64994,0.516373
3.65759,0.517109
3.66524,0.517844
3.67291,0.518578
3.68058,0.519313
3.68826,0.520046
3.69595,0.52078
3.70364,0.521513
3.71135,0.522246
3.71906,0.522978
3.72678,0.523711
3.7345,0.524442
3.74224,0.525174
3.74998,0.525905
3.75773,0.526635
3.76549,0.527365
3.77326,0.528095
3.78104,0.528825
3.78882,0.529554
3.79661,0.530283
3.80441,0.531011
3.81222,0.531739
3.82003,0.532466
3.82786,0.533194
3.83569,0.53392
3.84353,0.534647
3.85138,0.535373
3.85923,0.536098
3.8671,0.536824
3.87497,0.537548
3.88285,0.538273
3.89073,0.538997
3.89863,0.53972
3.90653,0.540444
3.91445,0.541166
3.92236,0.541889
3.93029,0.542611
3.93823,0.543332
3.94617,0.544053
3.95412,0.544774
3.96208,0.545495
3.97005,0.546214
3.97803,0.546934
3.98601,0.547653
3.994,0.548372
4.002,0.54909
4.01001,0.549808
4.01802,0.550525
4.02605,0.551242
4.03408,0.551958
4.04212,0.552674
4.05017,0.55339
4.05822,0.554105
4.06629,0.55482
4.07436,0.555534
4.08244,0.556248
4.09052,0.556962
4.09862,0.557674
4.10672,0.558387
4.11484,0.559099
4.12295,0.559811
4.13108,0.560522
4.13922,0.561233
4.14736,0.561943
4.15551,0.562653
4.16367,0.563362
4.17184,0.564071
4.18002,0.56478
4.1882,0.565488
4.19639,0.566195
4.20459,0.566902
4.2128,0.567609
4.22101,0.568315
4.22924,0.569021
4.23747,0.569726
4.24571,0.57043
4.25396,0.571135
4.26221,0.571838
4.27048,0.572542
4.27875,0.573245
4.28703,0.573947
4.29532,0.574649
4.30361,0.57535
4.31192,0.576051
4.32023,0.576752
4.32855,0.577451
4.33687,0.578151
4.34521,0.57885
4.35355,0.579548
4.36191,0.580246
4.37027,0.580944
4.37863,0.581641
4.38701,0.582337
4.39539,0.583033
4.40378,0.583729
4.41218,0.584424
4.42059,0.585118
4.42901,0.585812
4.43743,0.586506
4.44586,0.587199
4.4543,0.587891
4.46275,0.588583
4.47121,0.589275
4.47967,0.589966
4.48814,0.590656
4.49662,0.591346
4.50511,0.592035
4.51361,0.592724
4.52211,0.593413
4.53062,0.5941
4.53914,0.594788
4.54767,0.595475
4.55621,0.596161
4.56475,0.596847
4.5733,0.597532
4.58186,0.598217
4.59043,0.598901
4.599,0.599584
4.60759,0.600268
4.61618,0.60095
4.62478,0.601632
4.63339,0.602314
4.642,0.602995
4.65063,0.603675
4.65926,0.604355
4.6679,0.605034
4.67655,0.605713
4.6852,0.606392
4.69387,0.607069
4.70254,0.607747
4.71122,0.608423
4.71991,0.609099
4.7286,0.609775
4.73731,0.61045
4.74602,0.611124
4.75474,0.611798
4.76347,0.612472
4.7722,0.613145
4.78095,0.613817
4.7897,0.614488
4.79846,0.61516
4.80723,0.61583
4.816,0.6165
4.82478,0.61717
4.83358,0.617839
4.84238,0.618507
4.85118,0.619175
4.86,0.619842
4.86882,0.620509
4.87766,0.621175
4.8865,0.62184
4.89534,0.622505
4.9042,0.623169
4.91306,0.623833
4.92194,0.624496
4.93082,0.625159
4.9397,0.625821
4.9486,0.626483
4.9575,0.627144
4.96642,0.627804
4.97534,0.628464
4.98426,0.629123
4.9932,0.629781
5.00214,0.63044
5.0111,0.631097
5.02006,0.631754
5.02902,0.63241
5.038,0.633066
