r,sigma_dipolo
7.34922e-05,5.46424e-08
7.36617e-05,5.49118e-08
7.38315e-05,5.51825e-08
7.40017e-05,5.54546e-08
7.41724e-05,5.5728e-08
7.43434e-05,5.60028e-08
7.45148e-05,5.62789e-08
7.46866e-05,5.65564e-08
7.48588e-05,5.68352e-08
7.50314e-05,5.71155e-08
7.52044e-05,5.73971e-08
7.53778e-05,5.76801e-08
7.55516e-05,5.79645e-08
7.57258e-05,5.82503e-08
7.59004e-05,5.85376e-08
7.60754e-05,5.88262e-08
7.62508e-05,5.91163e-08
7.64266e-05,5.94078e-08
7.66028e-05,5.97007e-08
7.67795e-05,5.99951e-08
7.69565e-05,6.0291e-08
7.71339e-05,6.05883e-08
7.73118e-05,6.0887e-08
7.749e-05,6.11873e-08
7.76687e-05,6.1489e-08
7.78478e-05,6.17922e-08
7.80273e-05,6.2097e-08
7.82072e-05,6.24032e-08
7.83875e-05,6.27109e-08
7.85683e-05,6.30202e-08
7.87494e-05,6.3331e-08
7.8931e-05,6.36433e-08
7.9113e-05,6.39571e-08
7.92954e-05,6.42726e-08
7.94782e-05,6.45895e-08
7.96615e-05,6.49081e-08
7.98451e-05,6.52282e-08
8.00292e-05,6.55499e-08
8.02138e-05,6.58732e-08
8.03987e-05,6.6198e-08
8.05841e-05,6.65245e-08
8.07699e-05,6.68526e-08
8.09561e-05,6.71823e-08
8.11428e-05,6.75137e-08
8.13299e-05,6.78467e-08
8.15174e-05,6.81813e-08
8.17054e-05,6.85176e-08
8.18937e-05,6.88555e-08
8.20826e-05,6.91951e-08
8.22718e-05,6.95364e-08
8.24615e-05,6.98794e-08
8.26516e-05,7.02241e-08
8.28422e-05,7.05705e-08
8.30332e-05,7.09185e-08
8.32247e-05,7.12683e-08
8.34166e-05,7.16199e-08
8.36089e-05,7.19732e-08
8.38017e-05,7.23282e-08
8.39949e-05,7.26849e-08
8.41886e-05,7.30435e-08
8.43827e-05,7.34038e-08
8.45772e-05,7.37659e-08
8.47723e-05,7.41297e-08
8.49677e-05,7.44954e-08
8.51636e-05,7.48629e-08
8.536e-05,7.52322e-08
8.55568e-05,7.56033e-08
8.57541e-05,7.59763e-08
8.59518e-05,7.63511e-08
8.615e-05,7.67277e-08
8.63486e-05,7.71062e-08
8.65477e-05,7.74866e-08
8.67472e-05,7.78688e-08
8.69473e-05,7.8253e-08
8.71477e-05,7.8639e-08
8.73487e-05,7.9027e-08
8.75501e-05,7.94169e-08
8.77519e-05,7.98087e-08
8.79543e-05,8.02024e-08
8.81571e-05,8.05981e-08
8.83603e-05,8.09957e-08
8.85641e-05,8.13953e-08
8.87683e-05,8.17969e-08
8.89729e-05,8.22005e-08
8.91781e-05,8.2606e-08
8.93837e-05,8.30136e-08
8.95898e-05,8.34231e-08
8.97964e-05,8.38347e-08
9.00034e-05,8.42484e-08
9.02109e-05,8.4664e-08
9.04189e-05,8.50818e-08
9.06274e-05,8.55016e-08
9.08364e-05,8.59234e-08
9.10458e-05,8.63474e-08
9.12557e-05,8.67734e-08
9.14661e-05,8.72016e-08
9.1677e-05,8.76319e-08
9.18884e-05,8.80643e-08
9.21003e-05,8.84988e-08
9.23126e-05,8.89355e-08
9.25255e-05,8.93743e-08
9.27388e-05,8.98153e-08
9.29526e-05,9.02585e-08
9.3167e-05,9.07039e-08
9.33818e-05,9.11515e-08
9.35971e-05,9.16013e-08
9.38129e-05,9.20533e-08
9.40292e-05,9.25076e-08
9.4246e-05,9.29641e-08
9.44633e-05,9.34228e-08
9.46811e-05,9.38838e-08
9.48994e-05,9.43471e-08
9.51182e-05,9.48127e-08
9.53375e-05,9.52806e-08
9.55574e-05,9.57508e-08
9.57777e-05,9.62234e-08
9.59985e-05,9.66982e-08
9.62199e-05,9.71754e-08
9.64417e-05,9.7655e-08
9.66641e-05,9.81369e-08
9.6887e-05,9.86213e-08
9.71103e-05,9.9108e-08
9.73343e-05,9.95971e-08
9.75587e-05,1.00089e-07
9.77836e-05,1.00583e-07
9.80091e-05,1.01079e-07
9.82351e-05,1.01578e-07
9.84616e-05,1.02079e-07
9.86886e-05,1.02583e-07
9.89161e-05,1.03089e-07
9.91442e-05,1.03598e-07
9.93728e-05,1.0411e-07
9.96019e-05,1.04623e-07
9.98316e-05,1.0514e-07
0.000100062,1.05659e-07
0.000100292,1.0618e-07
0.000100524,1.06704e-07
0.000100755,1.07231e-07
0.000100988,1.0776e-07
0.000101221,1.08292e-07
0.000101454,1.08827e-07
0.000101688,1.09364e-07
0.000101922,1.09904e-07
0.000102157,1.10446e-07
0.000102393,1.10991e-07
0.000102629,1.11539e-07
0.000102866,1.1209e-07
0.000103103,1.12643e-07
0.000103341,1.13199e-07
0.000103579,1.13758e-07
0.000103818,1.1432e-07
0.000104057,1.14884e-07
0.000104297,1.15451e-07
0.000104537,1.16021e-07
0.000104778,1.16594e-07
0.00010502,1.17169e-07
0.000105262,1.17748e-07
0.000105505,1.18329e-07
0.000105748,1.18913e-07
0.000105992,1.195e-07
0.000106236,1.2009e-07
0.000106481,1.20683e-07
0.000106727,1.21279e-07
0.000106973,1.21878e-07
0.00010722,1.22479e-07
0.000107467,1.23084e-07
0.000107715,1.23692e-07
0.000107963,1.24302e-07
0.000108212,1.24916e-07
0.000108461,1.25533e-07
0.000108711,1.26153e-07
0.000108962,1.26776e-07
0.000109213,1.27401e-07
0.000109465,1.2803e-07
0.000109718,1.28663e-07
0.000109971,1.29298e-07
0.000110224,1.29936e-07
0.000110478,1.30578e-07
0.000110733,1.31223e-07
0.000110988,1.31871e-07
0.000111244,1.32522e-07
0.000111501,1.33176e-07
0.000111758,1.33834e-07
0.000112015,1.34494e-07
0.000112274,1.35159e-07
0.000112533,1.35826e-07
0.000112792,1.36497e-07
0.000113052,1.37171e-07
0.000113313,1.37848e-07
0.000113574,1.38529e-07
0.000113836,1.39213e-07
0.000114098,1.399e-07
0.000114361,1.40591e-07
0.000114625,1.41285e-07
0.000114889,1.41983e-07
0.000115154,1.42684e-07
