r2,N_GBW
0.615059,0.0513147
0.6182,0.0515695
0.62135,0.0518249
0.624508,0.0520809
0.627673,0.0523375
0.630847,0.0525947
0.634029,0.0528524
0.637218,0.0531107
0.640416,0.0533696
0.643622,0.053629
0.646835,0.0538891
0.650057,0.0541497
0.653287,0.0544108
0.656525,0.0546726
0.65977,0.0549349
0.663024,0.0551977
0.666286,0.0554612
0.669555,0.0557252
0.672833,0.0559898
0.676119,0.0562549
0.679413,0.0565206
0.682714,0.0567869
0.686024,0.0570538
0.689342,0.0573212
0.692667,0.0575891
0.696001,0.0578577
0.699343,0.0581268
0.702693,0.0583965
0.70605,0.0586667
0.709416,0.0589375
0.71279,0.0592088
0.716172,0.0594807
0.719561,0.0597532
0.722959,0.0600262
0.726365,0.0602998
0.729779,0.060574
0.7332,0.0608487
0.73663,0.061124
0.740068,0.0613998
0.743514,0.0616761
0.746968,0.0619531
0.750429,0.0622306
0.753899,0.0625086
0.757377,0.0627872
0.760863,0.0630664
0.764356,0.0633461
0.767858,0.0636263
0.771368,0.0639071
0.774886,0.0641885
0.778412,0.0644704
0.781946,0.0647528
0.785487,0.0650358
0.789037,0.0653194
0.792595,0.0656035
0.796161,0.0658881
0.799735,0.0661733
0.803316,0.0664591
0.806906,0.0667454
0.810504,0.0670322
0.81411,0.0673196
0.817724,0.0676075
0.821346,0.067896
0.824976,0.068185
0.828613,0.0684745
0.832259,0.0687646
0.835913,0.0690552
0.839575,0.0693464
0.843245,0.0696381
0.846923,0.0699304
0.850609,0.0702232
0.854302,0.0705165
0.858004,0.0708103
0.861714,0.0711047
0.865432,0.0713997
0.869158,0.0716951
0.872892,0.0719912
0.876634,0.0722877
0.880384,0.0725848
0.884142,0.0728824
0.887907,0.0731805
0.891681,0.0734792
0.895463,0.0737784
0.899253,0.0740781
0.903051,0.0743784
0.906857,0.0746792
0.910671,0.0749805
0.914493,0.0752823
0.918323,0.0755847
0.922161,0.0758876
0.926007,0.0761911
0.929861,0.076495
0.933723,0.0767995
0.937593,0.0771045
0.941471,0.07741
0.945356,0.0777161
0.94925,0.0780226
0.953152,0.0783297
0.957062,0.0786374
0.96098,0.0789455
0.964906,0.0792542
0.96884,0.0795633
0.972782,0.079873
0.976732,0.0801832
0.98069,0.080494
0.984656,0.0808052
0.98863,0.081117
0.992612,0.0814293
0.996602,0.081742
1.0006,0.0820554
1.00461,0.0823692
1.00862,0.0826835
1.01264,0.0829984
1.01667,0.0833137
1.02071,0.0836296
1.02476,0.083946
1.02881,0.0842629
1.03287,0.0845803
1.03694,0.0848982
1.04102,0.0852166
1.04511,0.0855355
1.0492,0.0858549
1.0533,0.0861749
1.05741,0.0864953
1.06153,0.0868162
1.06566,0.0871377
1.06979,0.0874596
1.07393,0.0877821
1.07808,0.0881051
1.08224,0.0884285
1.08641,0.0887525
1.09058,0.0890769
1.09476,0.0894019
1.09895,0.0897273
1.10315,0.0900533
1.10736,0.0903797
1.11157,0.0907067
1.11579,0.0910341
1.12002,0.0913621
1.12426,0.0916905
1.12851,0.0920194
1.13276,0.0923489
1.13702,0.0926788
1.14129,0.0930092
1.14557,0.0933401
1.14986,0.0936715
1.15415,0.0940033
1.15845,0.0943357
1.16276,0.0946686
1.16708,0.0950019
1.17141,0.0953357
1.17574,0.0956701
1.18009,0.0960049
1.18444,0.0963401
1.18879,0.0966759
1.19316,0.0970122
1.19753,0.0973489
1.20192,0.0976861
1.20631,0.0980238
1.2107,0.098362
1.21511,0.0987007
1.21952,0.0990398
1.22395,0.0993795
1.22838,0.0997196
1.23282,0.10006
1.23726,0.100401
1.24172,0.100743
1.24618,0.101085
1.25065,0.101427
1.25513,0.10177
1.25961,0.102114
1.26411,0.102458
1.26861,0.102802
1.27312,0.103147
1.27764,0.103492
1.28216,0.103838
1.2867,0.104184
1.29124,0.104531
1.29579,0.104878
1.30035,0.105226
1.30491,0.105574
1.30949,0.105922
1.31407,0.106272
1.31866,0.106621
1.32326,0.106971
1.32787,0.107322
1.33248,0.107672
1.3371,0.108024
1.34173,0.108376
1.34637,0.108728
1.35102,0.109081
1.35567,0.109434
1.36033,0.109788
1.365,0.110142
1.36968,0.110496
1.37437,0.110851
1.37906,0.111207
1.38376,0.111563
1.38847,0.111919
1.39319,0.112276
1.39792,0.112634
1.40265,0.112991
1.4074,0.11335
1.41215,0.113708
1.4169,0.114067
1.42167,0.114427
1.42645,0.114787
1.43123,0.115147
1.43602,0.115508
1.44082,0.11587
1.44562,0.116231
1.45044,0.116594
1.45526,0.116956
1.46009,0.11732
1.46493,0.117683
1.46977,0.118047
1.47463,0.118412
1.47949,0.118777
1.48436,0.119142
1.48924,0.119508
1.49413,0.119874
1.49902,0.120241
1.50392,0.120608
1.50883,0.120975
1.51375,0.121343
1.51868,0.121712
1.52361,0.12208
1.52855,0.12245
1.5335,0.122819
1.53846,0.12319
1.54343,0.12356
1.5484,0.123931
1.55339,0.124303
1.55838,0.124674
1.56338,0.125047
1.56838,0.125419
1.5734,0.125793
1.57842,0.126166
1.58345,0.12654
1.58849,0.126915
1.59353,0.127289
1.59859,0.127665
1.60365,0.12804
1.60872,0.128416
1.6138,0.128793
1.61889,0.12917
1.62398,0.129547
1.62908,0.129925
1.63419,0.130303
1.63931,0.130682
1.64444,0.131061
1.64957,0.13144
1.65471,0.13182
1.65987,0.132201
1.66502,0.132581
1.67019,0.132962
1.67536,0.133344
1.68055,0.133726
1.68574,0.134108
1.69094,0.134491
1.69614,0.134874
1.70136,0.135258
1.70658,0.135642
1.71181,0.136026
1.71705,0.136411
1.7223,0.136796
1.72755,0.137182
1.73281,0.137568
1.73808,0.137954
1.74336,0.138341
1.74865,0.138728
1.75394,0.139116
1.75924,0.139504
1.76456,0.139892
1.76987,0.140281
1.7752,0.14067
1.78053,0.14106
1.78588,0.14145
1.79123,0.14184
1.79659,0.142231
1.80195,0.142622
1.80733,0.143014
1.81271,0.143406
1.8181,0.143798
1.8235,0.144191
1.82891,0.144584
1.83432,0.144977
1.83974,0.145371
1.84517,0.145766
1.85061,0.14616
1.85606,0.146555
1.86151,0.146951
1.86698,0.147347
1.87245,0.147743
1.87793,0.148139
1.88341,0.148536
1.88891,0.148934
1.89441,0.149332
1.89992,0.14973
1.90544,0.150128
1.91096,0.150527
1.9165,0.150926
1.92204,0.151326
1.92759,0.151726
1.93315,0.152127
1.93872,0.152527
1.94429,0.152928
1.94988,0.15333
1.95547,0.153732
1.96106,0.154134
1.96667,0.154537
1.97229,0.15494
1.97791,0.155343
1.98354,0.155747
1.98918,0.156151
1.99482,0.156556
2.00048,0.15696
2.00614,0.157366
2.01181,0.157771
2.01749,0.158177
2.02318,0.158584
2.02887,0.15899
2.03457,0.159397
2.04029,0.159805
2.046,0.160212
2.05173,0.160621
2.05747,0.161029
2.06321,0.161438
2.06896,0.161847
2.07472,0.162257
2.08048,0.162666
2.08626,0.163077
2.09204,0.163487
2.09783,0.163898
2.10363,0.16431
2.10944,0.164721
2.11525,0.165133
2.12108,0.165546
2.12691,0.165958
2.13274,0.166371
2.13859,0.166785
2.14445,0.167199
2.15031,0.167613
2.15618,0.168027
2.16206,0.168442
2.16795,0.168857
2.17384,0.169273
2.17974,0.169688
2.18565,0.170105
2.19157,0.170521
2.1975,0.170938
2.20343,0.171355
2.20938,0.171773
2.21533,0.172191
2.22129,0.172609
2.22725,0.173027
2.23323,0.173446
2.23921,0.173865
2.2452,0.174285
2.2512,0.174705
2.25721,0.175125
2.26322,0.175546
2.26924,0.175966
2.27528,0.176388
2.28131,0.176809
2.28736,0.177231
2.29342,0.177653
2.29948,0.178076
2.30555,0.178499
2.31163,0.178922
2.31772,0.179345
2.32381,0.179769
2.32991,0.180193
2.33602,0.180618
2.34214,0.181042
2.34827,0.181467
2.3544,0.181893
2.36055,0.182319
2.3667,0.182745
2.37286,0.183171
2.37902,0.183598
2.3852,0.184025
2.39138,0.184452
2.39757,0.18488
2.40377,0.185307
2.40998,0.185736
2.41619,0.186164
2.42242,0.186593
2.42865,0.187022
2.43489,0.187452
2.44113,0.187882
2.44739,0.188312
2.45365,0.188742
2.45992,0.189173
2.4662,0.189604
2.47249,0.190035
2.47878,0.190467
2.48509,0.190899
2.4914,0.191331
2.49771,0.191764
2.50404,0.192196
2.51038,0.19263
2.51672,0.193063
2.52307,0.193497
2.52943,0.193931
2.5358,0.194365
2.54217,0.1948
2.54855,0.195235
2.55495,0.19567
2.56134,0.196105
2.56775,0.196541
2.57417,0.196977
2.58059,0.197414
2.58702,0.19785
2.59346,0.198287
2.59991,0.198724
2.60636,0.199162
2.61282,0.1996
2.6193,0.200038
2.62577,0.200476
2.63226,0.200915
2.63876,0.201354
2.64526,0.201793
2.65177,0.202233
2.65829,0.202672
2.66482,0.203113
2.67135,0.203553
2.67789,0.203994
2.68445,0.204434
2.691,0.204876
2.69757,0.205317
2.70415,0.205759
2.71073,0.206201
2.71732,0.206643
2.72392,0.207086
2.73053,0.207529
2.73714,0.207972
2.74376,0.208415
2.7504,0.208859
2.75703,0.209303
2.76368,0.209747
2.77034,0.210191
2.777,0.210636
2.78367,0.211081
2.79035,0.211526
2.79704,0.211972
2.80373,0.212418
2.81044,0.212864
2.81715,0.21331
2.82387,0.213757
2.83059,0.214203
2.83733,0.21465
2.84407,0.215098
2.85082,0.215545
2.85758,0.215993
2.86435,0.216441
2.87112,0.21689
2.87791,0.217338
2.8847,0.217787
2.8915,0.218236
2.8983,0.218686
2.90512,0.219135
2.91194,0.219585
2.91877,0.220035
2.92561,0.220486
2.93246,0.220936
2.93931,0.221387
2.94618,0.221838
2.95305,0.22229
2.95993,0.222741
2.96681,0.223193
2.97371,0.223645
2.98061,0.224098
2.98752,0.22455
2.99444,0.225003
3.00137,0.225456
3.00831,0.22591
3.01525,0.226363
3.0222,0.226817
3.02916,0.227271
3.03613,0.227725
3.0431,0.22818
3.05009,0.228634
3.05708,0.229089
3.06408,0.229545
3.07108,0.23
3.0781,0.230456
3.08512,0.230912
3.09215,0.231368
3.09919,0.231824
3.10624,0.232281
3.11329,0.232737
3.12036,0.233194
