r,N_cgc
6.97981e-05,0.0118698
7.17556e-05,0.0122027
7.3768e-05,0.0125449
7.58368e-05,0.0128967
7.79636e-05,0.0132583
8.01501e-05,0.0136301
8.23979e-05,0.0140124
8.47087e-05,0.0144053
8.70843e-05,0.0148093
8.95266e-05,0.0152246
9.20373e-05,0.0156515
9.46185e-05,0.0160904
9.7272e-05,0.0165416
0.0001,0.0170055
0.000102804,0.0174823
0.000105688,0.0179726
0.000108652,0.0184766
0.000111699,0.0189947
0.000114831,0.0195273
0.000118052,0.0200749
0.000121362,0.0206379
0.000124766,0.0212166
0.000128265,0.0218115
0.000131862,0.0224231
0.00013556,0.0230519
0.000139362,0.0236983
0.00014327,0.0243628
0.000147288,0.025046
0.000151419,0.0257483
0.000155665,0.0264703
0.000160031,0.0272126
0.000164519,0.0279756
0.000169133,0.0287601
0.000173876,0.0295665
0.000178753,0.0303956
0.000183766,0.0312479
0.000188919,0.032124
0.000194217,0.0330248
0.000199664,0.0339508
0.000205264,0.0349028
0.00021102,0.0358814
0.000216938,0.0368875
0.000223022,0.0379218
0.000229277,0.0389851
0.000235707,0.0400782
0.000242317,0.0412019
0.000249113,0.0423571
0.000256099,0.0435448
0.000263282,0.0447657
0.000270665,0.0460208
0.000278256,0.0473111
0.00028606,0.0486376
0.000294082,0.0500013
0.000302329,0.0514032
0.000310808,0.0528443
0.000319525,0.0543259
0.000328486,0.055849
0.000337698,0.0574148
0.000347169,0.0590245
0.000356905,0.0606793
0.000366914,0.0623805
0.000377204,0.0641293
0.000387783,0.0659272
0.000398658,0.0677754
0.000409838,0.0696754
0.000421332,0.0716287
0.000433148,0.0736367
0.000445296,0.075701
0.000457784,0.0778232
0.000470622,0.0800048
0.000483821,0.0822475
0.00049739,0.0845531
0.000511339,0.0869233
0.000525679,0.0893598
0.000540422,0.0918647
0.000555578,0.0944397
0.000571159,0.0970869
0.000587177,0.0998082
0.000603644,0.102606
0.000620573,0.105482
0.000637977,0.108438
0.000655869,0.111478
0.000674262,0.114602
0.000693172,0.117814
0.000712612,0.121116
0.000732597,0.12451
0.000753142,0.128
0.000774264,0.131587
0.000795978,0.135275
0.000818301,0.139066
0.00084125,0.142963
0.000864842,0.146969
0.000889097,0.151087
0.000914031,0.155321
0.000939665,0.159673
0.000966017,0.164147
0.000993109,0.168747
0.00102096,0.173475
0.00104959,0.178335
0.00107903,0.183332
0.00110929,0.188468
0.0011404,0.193748
0.00117238,0.199176
0.00120526,0.204756
0.00123906,0.210492
0.00127381,0.216388
0.00130954,0.222449
0.00134626,0.22868
0.00138402,0.235085
0.00142283,0.24167
0.00146273,0.248439
0.00150376,0.255396
0.00154593,0.262549
0.00158928,0.269902
0.00163385,0.27746
0.00167967,0.285229
0.00172678,0.293216
0.00177521,0.301426
0.00182499,0.309865
0.00187617,0.318541
0.00192879,0.327458
0.00198288,0.336625
0.00203849,0.346049
0.00209566,0.355735
0.00215443,0.365692
0.00221486,0.375927
0.00227697,0.386449
0.00234083,0.397263
0.00240648,0.40838
0.00247396,0.419808
0.00254335,0.431554
0.00261467,0.443628
0.002688,0.45604
0.00276339,0.468797
0.00284088,0.481911
0.00292056,0.49539
0.00300246,0.509246
0.00308666,0.523488
0.00317323,0.538127
0.00326222,0.553174
0.00335371,0.56864
0.00344776,0.584538
0.00354446,0.600879
0.00364386,0.617675
0.00374605,0.634939
0.00385111,0.652684
0.00395911,0.670923
0.00407014,0.68967
0.00418429,0.708938
0.00430164,0.728743
0.00442227,0.749099
0.0045463,0.770021
0.0046738,0.791525
0.00480487,0.813627
0.00493962,0.836343
0.00507815,0.859691
0.00522057,0.883687
0.00536698,0.90835
0.00551749,0.933698
0.00567223,0.95975
0.00583131,0.986524
0.00599484,1.01404
