r,x,sigma
0.0001059560179,0.001943527115,1.848941238e-08
0.0001059560179,0.0020996536,1.746405302e-08
0.0001059560179,0.002268321964,1.648709785e-08
0.0001059560179,0.002450539713,1.555659265e-08
0.0001059560179,0.00264739529,1.467063754e-08
0.0001059560179,0.002860064576,1.382741109e-08
0.0001059560179,0.003089817908,1.302514928e-08
0.0001059560179,0.003338027674,1.226215386e-08
0.0001059560179,0.003606176508,1.15367879e-08
0.0001059560179,0.003895866145,1.084746829e-08
0.0001059560179,0.00420882699,1.019267554e-08
0.0001059560179,0.004546928456,9.570939737e-09
0.0001059560179,0.004912190126,8.980844136e-09
0.0001059560179,0.005306793821,8.421032031e-09
0.0001059560179,0.00573309663,7.890185538e-09
0.0001059560179,0.006193644991,7.387041426e-09
0.0001059560179,0.006691189902,6.910385627e-09
0.0001059560179,0.007228703351,6.459047121e-09
0.0001059560179,0.007809396072,6.031895414e-09
0.0001059560179,0.008436736722,5.627851171e-09
0.0001059560179,0.009114472599,5.245872313e-09
0.0001059560179,0.009846652028,4.88495318e-09
0.0001059560179,0.01063764854,4.544136989e-09
0.0001059560179,0.01149218701,4.222497022e-09
0.0001059560179,0.01241537185,3.919147202e-09
0.0001059560179,0.01341271753,3.633231405e-09
0.0001059560179,0.0144901815,3.363937736e-09
0.0001059560179,0.0156541998,3.110481038e-09
0.0001059560179,0.01691172545,2.872107809e-09
0.0001059560179,0.01827027004,2.648102094e-09
0.0001059560179,0.01973794859,2.437772962e-09
0.0001059560179,0.02132352798,2.240460195e-09
0.0001059560179,0.02303647938,2.055534617e-09
0.0001059560179,0.02488703476,1.882393397e-09
0.0001059560179,0.02688624807,1.72045496e-09
0.0001059560179,0.02904606122,1.569171659e-09
0.0001059560179,0.03137937544,1.428017084e-09
0.0001059560179,0.03390012833,1.29648744e-09
0.0001059560179,0.03662337714,1.174099245e-09
0.0001059560179,0.03956538866,1.060399871e-09
0.0001059560179,0.04274373643,9.549435068e-10
0.0001059560179,0.04617740571,8.573156841e-10
0.0001059560179,0.04988690686,7.671158099e-10
0.0001059560179,0.05389439787,6.839593723e-10
0.0001059560179,0.05822381672,6.074797101e-10
0.0001059560179,0.06290102436,5.373261602e-10
0.0001059560179,0.0679539592,4.731579413e-10
0.0001059560179,0.07341280397,4.146529235e-10
0.0001059560179,0.07931016603,3.614897157e-10
0.0001059560179,0.08568127215,3.133714632e-10
0.0001059560179,0.0925641789,2.700009625e-10
0.0001059560179,0.1,2.310906829e-10
0.0001122667774,1e-06,1.397367614e-06
0.0001122667774,1.080331519e-06,1.349828279e-06
0.0001122667774,1.167116191e-06,1.303761886e-06
0.0001122667774,1.260872408e-06,1.259126816e-06
0.0001122667774,1.362160204e-06,1.21588254e-06
0.0001122667774,1.471584602e-06,1.173989567e-06
0.0001122667774,1.589799228e-06,1.133409431e-06
0.0001122667774,1.717510215e-06,1.094104669e-06
0.0001122667774,1.85548042e-06,1.05603879e-06
0.0001122667774,2.004533981e-06,1.019176259e-06
0.0001122667774,2.165561241e-06,9.834824644e-07
0.0001122667774,2.339524065e-06,9.489237127e-07
0.0001122667774,2.527461587e-06,9.154671842e-07
0.0001122667774,2.730496415e-06,8.830809351e-07
0.0001122667774,2.94984134e-06,8.517338552e-07
0.0001122667774,3.186806576e-06,8.21395668e-07
0.0001122667774,3.44280759e-06,7.920368843e-07
0.0001122667774,3.719373553e-06,7.636288175e-07
0.0001122667774,4.018156481e-06,7.361435357e-07
0.0001122667774,4.340941095e-06,7.095538519e-07
0.0001122667774,4.689655487e-06,6.838333127e-07
0.0001122667774,5.066382636e-06,6.589561709e-07
0.0001122667774,5.47337285e-06,6.348973742e-07
0.0001122667774,5.913057205e-06,6.116325441e-07
0.0001122667774,6.388062073e-06,5.891379678e-07
0.0001122667774,6.901224803e-06,5.673905658e-07
0.0001122667774,7.455610675e-06,5.463678941e-07
0.0001122667774,8.054531206e-06,5.260481123e-07
0.0001122667774,8.701563933e-06,5.064099839e-07
0.0001122667774,9.400573782e-06,4.874328523e-07
0.0001122667774,1.015573615e-05,4.690966231e-07
0.0001122667774,1.097156187e-05,4.513817648e-07
0.0001122667774,1.18529241e-05,4.342692706e-07
0.0001122667774,1.28050875e-05,4.177406746e-07
0.0001122667774,1.383373963e-05,4.017780142e-07
0.0001122667774,1.494502495e-05,3.863638271e-07
0.0001122667774,1.61455815e-05,3.714811418e-07
0.0001122667774,1.744258059e-05,3.571134555e-07
0.0001122667774,1.884376959e-05,3.432447347e-07
0.0001122667774,2.035751822e-05,3.298593945e-07
0.0001122667774,2.199286859e-05,3.169422817e-07
0.0001122667774,2.375958913e-05,3.044786847e-07
0.0001122667774,2.566823302e-05,2.924542986e-07
0.0001122667774,2.773020117e-05,2.808552287e-07
0.0001122667774,2.995781035e-05,2.696679754e-07
0.0001122667774,3.236436676e-05,2.588794272e-07
0.0001122667774,3.496424551e-05,2.484768435e-07
0.0001122667774,3.777297646e-05,2.384478539e-07
0.0001122667774,4.080733704e-05,2.287804453e-07
0.0001122667774,4.408545242e-05,2.194629494e-07
0.0001122667774,4.762690378e-05,2.104840368e-07
0.0001122667774,5.145284531e-05,2.01832706e-07
0.0001122667774,5.558613053e-05,1.93498278e-07
0.0001122667774,6.005144884e-05,1.854703874e-07
0.0001122667774,6.487547295e-05,1.777389695e-07
0.0001122667774,7.008701824e-05,1.702942572e-07
0.0001122667774,7.571721488e-05,1.631267718e-07
0.0001122667774,8.179969378e-05,1.562273163e-07
0.0001122667774,8.837078744e-05,1.495869648e-07
0.0001122667774,9.546974703e-05,1.431970581e-07
0.0001122667774,0.0001031389768,1.370491949e-07
0.0001122667774,0.0001114242875,1.311352255e-07
0.0001122667774,0.0001203751698,1.25447248e-07
0.0001122667774,0.0001300450901,1.199775925e-07
0.0001122667774,0.0001404918097,1.147188282e-07
0.0001122667774,0.0001517777302,1.096637506e-07
0.0001122667774,0.0001639702658,1.048053616e-07
0.0001122667774,0.0001771422463,1.001368898e-07
0.0001122667774,0.0001913723521,9.565176948e-08
0.0001122667774,0.0002067455838,9.134363363e-08
0.0001122667774,0.0002233537706,8.720631141e-08
0.0001122667774,0.0002412961183,8.323382621e-08
0.0001122667774,0.0002606798021,7.942038296e-08
0.0001122667774,0.0002816206065,7.576037027e-08
0.0001122667774,0.0003042436177,7.224834935e-08
0.0001122667774,0.0003286839697,6.887905609e-08
0.0001122667774,0.0003550876522,6.564739122e-08
0.0001122667774,0.0003836123827,6.25484117e-08
0.0001122667774,0.0004144285482,5.957733676e-08
0.0001122667774,0.000447720223,5.672953627e-08
0.0001122667774,0.0004836862686,5.400052646e-08
0.0001122667774,0.0005225415214,5.138596774e-08
0.0001122667774,0.0005645180756,4.888166255e-08
0.0001122667774,0.0006098666701,4.648354317e-08
0.0001122667774,0.0006588581862,4.418768312e-08
0.0001122667774,0.0007117852651,4.199027345e-08
0.0001122667774,0.0007689640567,3.988763539e-08
0.0001122667774,0.0008307361075,3.787620861e-08
0.0001122667774,0.000897470401,3.595255181e-08
0.0001122667774,0.0009695655616,3.411333781e-08
0.0001122667774,0.001047452236,3.235534397e-08
0.0001122667774,0.001131595665,3.067545892e-08
0.0001122667774,0.001222498464,2.907067947e-08
0.0001122667774,0.001320703623,2.753809731e-08
0.0001122667774,0.001426797751,2.607490453e-08
0.0001122667774,0.001541414582,2.467838515e-08
0.0001122667774,0.001665238757,2.334591755e-08
0.0001122667774,0.001799009916,2.207497217e-08
0.0001122667774,0.001943527115,2.086310101e-08
0.0001122667774,0.0020996536,1.970794452e-08
0.0001122667774,0.002268321964,1.860722417e-08
0.0001122667774,0.002450539713,1.75587335e-08
0.0001122667774,0.00264739529,1.656035746e-08
0.0001122667774,0.002860064576,1.561004091e-08
0.0001122667774,0.003089817908,1.470580576e-08
0.0001122667774,0.003338027674,1.384574747e-08
0.0001122667774,0.003606176508,1.302802262e-08
0.0001122667774,0.003895866145,1.22508617e-08
0.0001122667774,0.00420882699,1.15125523e-08
0.0001122667774,0.004546928456,1.081144598e-08
0.0001122667774,0.004912190126,1.014595485e-08
0.0001122667774,0.005306793821,9.514544582e-09
0.0001122667774,0.00573309663,8.91574484e-09
0.0001122667774,0.006193644991,8.348135708e-09
0.0001122667774,0.006691189902,7.810347886e-09
0.0001122667774,0.007228703351,7.301069886e-09
0.0001122667774,0.007809396072,6.819030476e-09
0.0001122667774,0.008436736722,6.363016622e-09
0.0001122667774,0.009114472599,5.931854489e-09
0.0001122667774,0.009846652028,5.524421297e-09
0.0001122667774,0.01063764854,5.139630244e-09
0.0001122667774,0.01149218701,4.776448093e-09
0.0001122667774,0.01241537185,4.433875563e-09
0.0001122667774,0.01341271753,4.110949951e-09
0.0001122667774,0.0144901815,3.806758795e-09
0.0001122667774,0.0156541998,3.520420263e-09
0.0001122667774,0.01691172545,3.251086683e-09
0.0001122667774,0.01827027004,2.99794893e-09
0.0001122667774,0.01973794859,2.760236064e-09
0.0001122667774,0.02132352798,2.537202192e-09
0.0001122667774,0.02303647938,2.328136906e-09
0.0001122667774,0.02488703476,2.132362047e-09
0.0001122667774,0.02688624807,1.949231886e-09
0.0001122667774,0.02904606122,1.778120846e-09
0.0001122667774,0.03137937544,1.618439515e-09
0.0001122667774,0.03390012833,1.469622258e-09
