r2,N_IIM
0.686024,0.102254
0.689342,0.102706
0.692667,0.103159
0.696001,0.103612
0.699343,0.104066
0.702693,0.10452
0.70605,0.104974
0.709416,0.105429
0.71279,0.105884
0.716172,0.10634
0.719561,0.106796
0.722959,0.107253
0.726365,0.10771
0.729779,0.108168
0.7332,0.108625
0.73663,0.109084
0.740068,0.109543
0.743514,0.110002
0.746968,0.110461
0.750429,0.110921
0.753899,0.111382
0.757377,0.111843
0.760863,0.112304
0.764356,0.112766
0.767858,0.113228
0.771368,0.11369
0.774886,0.114153
0.778412,0.114616
0.781946,0.11508
0.785487,0.115544
0.789037,0.116008
0.792595,0.116473
0.796161,0.116938
0.799735,0.117404
0.803316,0.11787
0.806906,0.118336
0.810504,0.118803
0.81411,0.11927
0.817724,0.119737
0.821346,0.120205
0.824976,0.120673
0.828613,0.121141
0.832259,0.12161
0.835913,0.122079
0.839575,0.122549
0.843245,0.123019
0.846923,0.123489
0.850609,0.123959
0.854302,0.12443
0.858004,0.124901
0.861714,0.125373
0.865432,0.125845
0.869158,0.126317
0.872892,0.126789
0.876634,0.127262
0.880384,0.127735
0.884142,0.128209
0.887907,0.128682
0.891681,0.129157
0.895463,0.129631
0.899253,0.130106
0.903051,0.130581
0.906857,0.131056
0.910671,0.131532
0.914493,0.132007
0.918323,0.132484
0.922161,0.13296
0.926007,0.133437
0.929861,0.133914
0.933723,0.134391
0.937593,0.134869
0.941471,0.135347
0.945356,0.135825
0.94925,0.136303
0.953152,0.136782
0.957062,0.137261
0.96098,0.137741
0.964906,0.13822
0.96884,0.1387
0.972782,0.13918
0.976732,0.13966
0.98069,0.140141
0.984656,0.140622
0.98863,0.141103
0.992612,0.141584
0.996602,0.142066
1.0006,0.142548
1.00461,0.14303
1.00862,0.143512
1.01264,0.143995
1.01667,0.144478
1.02071,0.144961
1.02476,0.145444
1.02881,0.145927
1.03287,0.146411
1.03694,0.146895
1.04102,0.147379
1.04511,0.147864
1.0492,0.148349
1.0533,0.148833
1.05741,0.149319
1.06153,0.149804
1.06566,0.150289
1.06979,0.150775
1.07393,0.151261
1.07808,0.151747
1.08224,0.152234
1.08641,0.15272
1.09058,0.153207
1.09476,0.153694
1.09895,0.154181
1.10315,0.154669
1.10736,0.155156
1.11157,0.155644
1.11579,0.156132
1.12002,0.15662
1.12426,0.157108
1.12851,0.157597
1.13276,0.158085
1.13702,0.158574
1.14129,0.159063
1.14557,0.159553
1.14986,0.160042
1.15415,0.160532
1.15845,0.161021
1.16276,0.161511
1.16708,0.162001
1.17141,0.162492
1.17574,0.162982
1.18009,0.163473
1.18444,0.163963
1.18879,0.164454
1.19316,0.164945
1.19753,0.165436
1.20192,0.165928
1.20631,0.166419
1.2107,0.166911
1.21511,0.167403
1.21952,0.167895
1.22395,0.168387
1.22838,0.168879
1.23282,0.169372
1.23726,0.169864
1.24172,0.170357
1.24618,0.17085
1.25065,0.171342
1.25513,0.171836
1.25961,0.172329
1.26411,0.172822
1.26861,0.173315
1.27312,0.173809
1.27764,0.174303
1.28216,0.174797
1.2867,0.175291
1.29124,0.175785
1.29579,0.176279
1.30035,0.176773
1.30491,0.177267
1.30949,0.177762
1.31407,0.178257
1.31866,0.178751
1.32326,0.179246
1.32787,0.179741
1.33248,0.180236
1.3371,0.180731
1.34173,0.181227
1.34637,0.181722
1.35102,0.182218
1.35567,0.182713
1.36033,0.183209
1.365,0.183705
1.36968,0.1842
1.37437,0.184696
1.37906,0.185192
1.38376,0.185688
1.38847,0.186185
1.39319,0.186681
1.39792,0.187177
1.40265,0.187674
1.4074,0.18817
1.41215,0.188667
1.4169,0.189164
1.42167,0.18966
1.42645,0.190157
1.43123,0.190654
1.43602,0.191151
1.44082,0.191648
1.44562,0.192145
1.45044,0.192642
1.45526,0.19314
1.46009,0.193637
1.46493,0.194134
1.46977,0.194632
1.47463,0.195129
1.47949,0.195627
1.48436,0.196124
1.48924,0.196622
1.49413,0.19712
1.49902,0.197618
1.50392,0.198115
1.50883,0.198613
1.51375,0.199111
1.51868,0.199609
1.52361,0.200107
1.52855,0.200605
1.5335,0.201103
1.53846,0.201602
1.54343,0.2021
1.5484,0.202598
1.55339,0.203096
1.55838,0.203595
1.56338,0.204093
1.56838,0.204591
1.5734,0.20509
1.57842,0.205588
1.58345,0.206087
1.58849,0.206585
1.59353,0.207084
1.59859,0.207582
1.60365,0.208081
1.60872,0.208579
1.6138,0.209078
1.61889,0.209577
1.62398,0.210075
1.62908,0.210574
1.63419,0.211073
1.63931,0.211571
1.64444,0.21207
1.64957,0.212569
1.65471,0.213068
1.65987,0.213566
1.66502,0.214065
1.67019,0.214564
1.67536,0.215063
1.68055,0.215562
1.68574,0.216061
1.69094,0.216559
1.69614,0.217058
1.70136,0.217557
1.70658,0.218056
1.71181,0.218555
1.71705,0.219054
1.7223,0.219552
1.72755,0.220051
1.73281,0.22055
1.73808,0.221049
1.74336,0.221548
1.74865,0.222046
1.75394,0.222545
1.75924,0.223044
1.76456,0.223543
1.76987,0.224042
1.7752,0.22454
1.78053,0.225039
1.78588,0.225538
1.79123,0.226037
1.79659,0.226535
1.80195,0.227034
1.80733,0.227533
1.81271,0.228031
1.8181,0.22853
1.8235,0.229028
1.82891,0.229527
1.83432,0.230025
1.83974,0.230524
1.84517,0.231022
1.85061,0.231521
1.85606,0.232019
1.86151,0.232518
1.86698,0.233016
1.87245,0.233514
1.87793,0.234013
1.88341,0.234511
1.88891,0.235009
1.89441,0.235507
1.89992,0.236006
1.90544,0.236504
1.91096,0.237002
1.9165,0.2375
1.92204,0.237998
1.92759,0.238496
1.93315,0.238994
1.93872,0.239492
1.94429,0.239989
1.94988,0.240487
1.95547,0.240985
1.96106,0.241483
1.96667,0.24198
1.97229,0.242478
1.97791,0.242975
1.98354,0.243473
1.98918,0.24397
1.99482,0.244468
2.00048,0.244965
2.00614,0.245462
2.01181,0.24596
2.01749,0.246457
2.02318,0.246954
2.02887,0.247451
2.03457,0.247948
2.04029,0.248445
2.046,0.248942
2.05173,0.249438
2.05747,0.249935
2.06321,0.250432
2.06896,0.250929
2.07472,0.251425
2.08048,0.251922
2.08626,0.252418
2.09204,0.252914
2.09783,0.253411
2.10363,0.253907
2.10944,0.254403
2.11525,0.254899
2.12108,0.255395
2.12691,0.255891
2.13274,0.256387
2.13859,0.256882
2.14445,0.257378
2.15031,0.257874
2.15618,0.258369
2.16206,0.258865
2.16795,0.25936
2.17384,0.259855
2.17974,0.260351
2.18565,0.260846
2.19157,0.261341
2.1975,0.261836
2.20343,0.262331
2.20938,0.262826
2.21533,0.26332
2.22129,0.263815
2.22725,0.264309
2.23323,0.264804
2.23921,0.265298
2.2452,0.265793
2.2512,0.266287
2.25721,0.266781
2.26322,0.267275
2.26924,0.267769
2.27528,0.268263
2.28131,0.268756
2.28736,0.26925
2.29342,0.269743
2.29948,0.270237
2.30555,0.27073
2.31163,0.271223
2.31772,0.271717
2.32381,0.27221
2.32991,0.272703
2.33602,0.273195
2.34214,0.273688
2.34827,0.274181
2.3544,0.274673
2.36055,0.275166
2.3667,0.275658
2.37286,0.27615
2.37902,0.276643
2.3852,0.277135
2.39138,0.277626
2.39757,0.278118
2.40377,0.27861
2.40998,0.279102
2.41619,0.279593
2.42242,0.280084
2.42865,0.280576
2.43489,0.281067
2.44113,0.281558
2.44739,0.282049
2.45365,0.28254
2.45992,0.28303
2.4662,0.283521
2.47249,0.284011
2.47878,0.284502
2.48509,0.284992
2.4914,0.285482
2.49771,0.285972
2.50404,0.286462
2.51038,0.286952
2.51672,0.287441
2.52307,0.287931
2.52943,0.28842
2.5358,0.28891
2.54217,0.289399
2.54855,0.289888
2.55495,0.290377
2.56134,0.290865
2.56775,0.291354
2.57417,0.291843
2.58059,0.292331
2.58702,0.292819
2.59346,0.293307
2.59991,0.293796
2.60636,0.294283
2.61282,0.294771
2.6193,0.295259
2.62577,0.295746
2.63226,0.296234
2.63876,0.296721
2.64526,0.297208
2.65177,0.297695
2.65829,0.298182
2.66482,0.298669
2.67135,0.299155
2.67789,0.299642
2.68445,0.300128
2.691,0.300614
2.69757,0.3011
2.70415,0.301586
2.71073,0.302072
2.71732,0.302558
2.72392,0.303043
2.73053,0.303528
2.73714,0.304014
2.74376,0.304499
2.7504,0.304984
2.75703,0.305468
2.76368,0.305953
2.77034,0.306438
2.777,0.306922
2.78367,0.307406
2.79035,0.30789
2.79704,0.308374
2.80373,0.308858
2.81044,0.309342
2.81715,0.309825
2.82387,0.310308
2.83059,0.310792
2.83733,0.311275
2.84407,0.311758
2.85082,0.31224
2.85758,0.312723
2.86435,0.313205
2.87112,0.313688
2.87791,0.31417
2.8847,0.314652
2.8915,0.315134
2.8983,0.315615
2.90512,0.316097
2.91194,0.316578
2.91877,0.31706
2.92561,0.317541
2.93246,0.318022
2.93931,0.318503
2.94618,0.318983
2.95305,0.319464
2.95993,0.319944
2.96681,0.320424
2.97371,0.320904
2.98061,0.321384
2.98752,0.321864
2.99444,0.322343
3.00137,0.322823
3.00831,0.323302
3.01525,0.323781
3.0222,0.32426
3.02916,0.324738
3.03613,0.325217
3.0431,0.325695
3.05009,0.326174
3.05708,0.326652
3.06408,0.32713
3.07108,0.327608
3.0781,0.328085
3.08512,0.328563
3.09215,0.32904
3.09919,0.329517
3.10624,0.329994
3.11329,0.330471
3.12036,0.330947
3.12743,0.331424
3.13451,0.3319
3.14159,0.332376
3.14869,0.332852
3.15579,0.333328
3.1629,0.333803
3.17002,0.334279
3.17715,0.334754
3.18429,0.335229
3.19143,0.335704
3.19858,0.336179
3.20574,0.336654
3.21291,0.337128
3.22008,0.337602
3.22727,0.338076
3.23446,0.33855
3.24166,0.339024
3.24886,0.339497
3.25608,0.339971
3.2633,0.340444
3.27053,0.340917
3.27777,0.34139
3.28502,0.341863
3.29228,0.342335
3.29954,0.342807
3.30681,0.34328
3.31409,0.343752
3.32138,0.344223
3.32867,0.344695
3.33598,0.345166
3.34329,0.345638
3.35061,0.346109
3.35793,0.34658
3.36527,0.347051
3.37261,0.347521
3.37996,0.347991
3.38732,0.348462
3.39469,0.348932
3.40207,0.349402
3.40945,0.349871
3.41684,0.350341
3.42424,0.35081
3.43165,0.351279
3.43906,0.351748
3.44649,0.352217
3.45392,0.352685
3.46136,0.353154
3.4688,0.353622
3.47626,0.35409
3.48372,0.354558
3.49119,0.355025
3.49867,0.355493
3.50616,0.35596
3.51366,0.356427
3.52116,0.356894
3.52867,0.357361
3.53619,0.357827
3.54372,0.358294
3.55125,0.35876
3.5588,0.359226
3.56635,0.359692
3.57391,0.360157
3.58147,0.360623
3.58905,0.361088
3.59663,0.361553
3.60423,0.362018
3.61182,0.362482
3.61943,0.362947
3.62705,0.363411
3.63467,0.363875
3.6423,0.364339
3.64994,0.364803
3.65759,0.365266
3.66524,0.36573
3.67291,0.366193
3.68058,0.366656
3.68826,0.367118
3.69595,0.367581
3.70364,0.368043
3.71135,0.368505
3.71906,0.368967
3.72678,0.369429
3.7345,0.369891
3.74224,0.370352
3.74998,0.370813
3.75773,0.371274
3.76549,0.371735
3.77326,0.372196
3.78104,0.372656
3.78882,0.373116
3.79661,0.373576
3.80441,0.374036
3.81222,0.374496
3.82003,0.374955
3.82786,0.375414
3.83569,0.375874
3.84353,0.376332
3.85138,0.376791
3.85923,0.377249
3.8671,0.377708
3.87497,0.378166
3.88285,0.378624
3.89073,0.379081
3.89863,0.379539
3.90653,0.379996
3.91445,0.380453
3.92236,0.38091
3.93029,0.381366
3.93823,0.381823
3.94617,0.382279
3.95412,0.382735
3.96208,0.383191
3.97005,0.383647
3.97803,0.384102
3.98601,0.384557
3.994,0.385012
4.002,0.385467
4.01001,0.385922
4.01802,0.386376
4.02605,0.386831
4.03408,0.387285
4.04212,0.387738
4.05017,0.388192
4.05822,0.388645
4.06629,0.389099
4.07436,0.389552
4.08244,0.390005
4.09052,0.390457
4.09862,0.39091
4.10672,0.391362
4.11484,0.391814
4.12295,0.392265
4.13108,0.392717
4.13922,0.393168
4.14736,0.39362
4.15551,0.394071
4.16367,0.394521
4.17184,0.394972
4.18002,0.395422
4.1882,0.395872
4.19639,0.396322
4.20459,0.396772
4.2128,0.397221
4.22101,0.397671
4.22924,0.39812
4.23747,0.398569
4.24571,0.399017
4.25396,0.399466
4.26221,0.399914
4.27048,0.400362
4.27875,0.40081
4.28703,0.401258
4.29532,0.401705
4.30361,0.402152
4.31192,0.402599
4.32023,0.403046
4.32855,0.403493
4.33687,0.403939
4.34521,0.404385
4.35355,0.404831
4.36191,0.405277
4.37027,0.405722
4.37863,0.406168
4.38701,0.406613
4.39539,0.407058
4.40378,0.407502
4.41218,0.407947
4.42059,0.408391
4.42901,0.408835
4.43743,0.409279
4.44586,0.409723
