r,N_gbw
5.59433e-05,1.91052e-05
5.75122e-05,1.96409e-05
5.91251e-05,2.01918e-05
6.07832e-05,2.0758e-05
6.24879e-05,2.13402e-05
6.42403e-05,2.19387e-05
6.60419e-05,2.25539e-05
6.78941e-05,2.31864e-05
6.97981e-05,2.38367e-05
7.17556e-05,2.45052e-05
7.3768e-05,2.51924e-05
7.58368e-05,2.58989e-05
7.79636e-05,2.66252e-05
8.01501e-05,2.73719e-05
8.23979e-05,2.81395e-05
8.47087e-05,2.89287e-05
8.70843e-05,2.974e-05
8.95266e-05,3.0574e-05
9.20373e-05,3.14314e-05
9.46185e-05,3.23129e-05
9.7272e-05,3.32191e-05
0.0001,3.41507e-05
0.000102804,3.51084e-05
0.000105688,3.6093e-05
0.000108652,3.71052e-05
0.000111699,3.81458e-05
0.000114831,3.92156e-05
0.000118052,4.03153e-05
0.000121362,4.14459e-05
0.000124766,4.26083e-05
0.000128265,4.38032e-05
0.000131862,4.50316e-05
0.00013556,4.62945e-05
0.000139362,4.75927e-05
0.00014327,4.89274e-05
0.000147288,5.02996e-05
0.000151419,5.17102e-05
0.000155665,5.31603e-05
0.000160031,5.46511e-05
0.000164519,5.61838e-05
0.000169133,5.77594e-05
0.000173876,5.93792e-05
0.000178753,6.10444e-05
0.000183766,6.27563e-05
0.000188919,6.45163e-05
0.000194217,6.63255e-05
0.000199664,6.81856e-05
0.000205264,7.00977e-05
0.00021102,7.20635e-05
0.000216938,7.40845e-05
0.000223022,7.61621e-05
0.000229277,7.82979e-05
0.000235707,8.04937e-05
0.000242317,8.2751e-05
0.000249113,8.50716e-05
0.000256099,8.74573e-05
0.000263282,8.991e-05
0.000270665,9.24313e-05
0.000278256,9.50234e-05
0.00028606,9.76882e-05
0.000294082,0.000100428
0.000302329,0.000103244
0.000310808,0.000106139
0.000319525,0.000109116
0.000328486,0.000112176
0.000337698,0.000115322
0.000347169,0.000118555
0.000356905,0.00012188
0.000366914,0.000125298
0.000377204,0.000128812
0.000387783,0.000132424
0.000398658,0.000136138
0.000409838,0.000139955
0.000421332,0.00014388
0.000433148,0.000147915
0.000445296,0.000152063
0.000457784,0.000156327
0.000470622,0.000160711
0.000483821,0.000165217
0.00049739,0.00016985
0.000511339,0.000174613
0.000525679,0.00017951
0.000540422,0.000184544
0.000555578,0.000189719
0.000571159,0.000195039
0.000587177,0.000200508
0.000603644,0.000206131
0.000620573,0.000211911
0.000637977,0.000217853
0.000655869,0.000223962
0.000674262,0.000230243
0.000693172,0.000236699
0.000712612,0.000243336
0.000732597,0.00025016
0.000753142,0.000257174
0.000774264,0.000264386
0.000795978,0.000271799
0.000818301,0.000279421
0.00084125,0.000287256
0.000864842,0.000295311
0.000889097,0.000303591
0.000914031,0.000312104
0.000939665,0.000320856
0.000966017,0.000329853
0.000993109,0.000339102
0.00102096,0.00034861
0.00104959,0.000358385
0.00107903,0.000368434
0.00110929,0.000378764
0.0011404,0.000389385
0.00117238,0.000400303
0.00120526,0.000411527
0.00123906,0.000423066
0.00127381,0.000434928
0.00130954,0.000447122
0.00134626,0.000459659
0.00138402,0.000472547
0.00142283,0.000485796
0.00146273,0.000499417
0.00150376,0.000513419
0.00154593,0.000527814
0.00158928,0.000542612
0.00163385,0.000557825
0.00167967,0.000573465
0.00172678,0.000589543
0.00177521,0.000606071
0.00182499,0.000623063
0.00187617,0.000640531
0.00192879,0.000658489
0.00198288,0.00067695
0.00203849,0.000695928
0.00209566,0.000715438
0.00215443,0.000735495
0.00221486,0.000756114
0.00227697,0.00077731
0.00234083,0.000799101
0.00240648,0.000821502
0.00247396,0.000844531
0.00254335,0.000868206
0.00261467,0.000892543
0.002688,0.000917563
0.00276339,0.000943283
0.00284088,0.000969725
0.00292056,0.000996907
0.00300246,0.00102485
0.00308666,0.00105358
0.00317323,0.00108311
0.00326222,0.00111347
0.00335371,0.00114468
0.00344776,0.00117676
0.00354446,0.00120974
0.00364386,0.00124365
0.00374605,0.0012785
0.00385111,0.00131433
0.00395911,0.00135117
0.00407014,0.00138903
0.00418429,0.00142796
0.00430164,0.00146798
0.00442227,0.00150912
0.0045463,0.00155141
0.0046738,0.00159488
0.00480487,0.00163957
0.00493962,0.00168551
0.00507815,0.00173274
0.00522057,0.00178129
0.00536698,0.0018312
0.00551749,0.00188251
0.00567223,0.00193525
0.00583131,0.00198947
0.00599484,0.00204521
0.00616297,0.0021025
0.0063358,0.0021614
0.00651349,0.00222195
0.00669616,0.00228419
0.00688395,0.00234818
0.00707701,0.00241395
0.00727548,0.00248157
0.00747952,0.00255107
0.00768928,0.00262252
0.00790493,0.00269597
0.00812662,0.00277147
0.00835453,0.00284908
0.00858883,0.00292887
0.0088297,0.00301088
0.00907733,0.00309519
