r,overlap_GLC,overlap_BG
0.0503107,0.00102014,0.00104569
0.0509291,0.00103026,0.00105608
0.0515552,0.00104047,0.00106656
0.052189,0.00105078,0.00107715
0.0528306,0.00106118,0.00108783
0.05348,0.00107168,0.00109861
0.0541375,0.00108227,0.00110948
0.054803,0.00109296,0.00112046
0.0554767,0.00110375,0.00113154
0.0561587,0.00111464,0.00114272
0.0568491,0.00112563,0.001154
0.0575479,0.00113671,0.00116538
0.0582554,0.0011479,0.00117687
0.0589715,0.00115919,0.00118846
0.0596965,0.00117058,0.00120015
0.0604303,0.00118207,0.00121195
0.0611732,0.00119366,0.00122386
0.0619252,0.00120536,0.00123588
0.0626865,0.00121717,0.001248
0.0634571,0.00122908,0.00126023
0.0642372,0.0012411,0.00127257
0.0650269,0.00125322,0.00128502
0.0658263,0.00126545,0.00129758
0.0666355,0.00127779,0.00131026
0.0674547,0.00129025,0.00132304
0.0682839,0.00130281,0.00133594
0.0691233,0.00131548,0.00134896
