r,overlap_GLC,overlap_BG
0.00104605,0.000978937,0.00135148
0.00105891,0.000988599,0.00136486
0.00107192,0.000998351,0.00137837
0.0010851,0.00100819,0.001392
0.00109844,0.00101813,0.00140575
0.00111194,0.00102815,0.00141964
0.00112561,0.00103827,0.00143365
0.00113945,0.00104848,0.0014478
0.00115346,0.00105879,0.00146207
0.00116764,0.00106919,0.00147648
0.00118199,0.00107968,0.00149102
0.00119652,0.00109027,0.0015057
0.00121123,0.00110096,0.00152051
0.00122612,0.00111175,0.00153545
0.0012412,0.00112264,0.00155054
0.00125645,0.00113362,0.00156576
0.0012719,0.00114471,0.00158113
0.00128754,0.0011559,0.00159663
0.00130336,0.00116719,0.00161228
0.00131939,0.00117858,0.00162807
0.00133561,0.00119008,0.00164401
0.00135202,0.00120168,0.00166009
0.00136864,0.00121339,0.00167632
0.00138547,0.0012252,0.00169269
0.0014025,0.00123712,0.00170922
0.00141974,0.00124915,0.00172589
0.0014372,0.00126128,0.00174272
0.00145486,0.00127353,0.0017597
0.00147275,0.00128589,0.00177684
0.00149085,0.00129835,0.00179413
0.00150918,0.00131094,0.00181157
0.00152773,0.00132363,0.00182918
0.00154651,0.00133644,0.00184694
0.00156553,0.00134936,0.00186487
0.00158477,0.0013624,0.00188295
0.00160425,0.00137555,0.0019012
0.00162398,0.00138882,0.00191961
0.00164394,0.00140221,0.00193819
0.00166415,0.00141572,0.00195693
0.00168461,0.00142936,0.00197585
0.00170532,0.00144311,0.00199493
0.00172628,0.00145698,0.00201418
0.0017475,0.00147098,0.00203361
0.00176898,0.0014851,0.0020532
0.00179073,0.00149934,0.00207298
0.00181274,0.00151372,0.00209292
0.00183503,0.00152821,0.00211305
0.00185759,0.00154284,0.00213335
0.00188042,0.0015576,0.00215384
0.00190354,0.00157248,0.0021745
0.00192694,0.00158749,0.00219535
0.00195063,0.00160264,0.00221638
0.00197461,0.00161792,0.0022376
0.00199888,0.00163333,0.002259
0.00202345,0.00164888,0.00228059
0.00204833,0.00166456,0.00230237
0.00207351,0.00168038,0.00232434
0.002099,0.00169634,0.00234651
0.0021248,0.00171243,0.00236887
0.00215092,0.00172867,0.00239142
0.00217737,0.00174504,0.00241417
0.00220413,0.00176156,0.00243712
0.00223123,0.00177822,0.00246026
0.00225866,0.00179502,0.00248361
0.00228642,0.00181196,0.00250716
0.00231453,0.00182905,0.00253092
0.00234299,0.00184629,0.00255487
0.00237179,0.00186368,0.00257904
0.00240095,0.00188121,0.00260341
0.00243046,0.0018989,0.002628
0.00246034,0.00191673,0.00265279
0.00249058,0.00193472,0.0026778
0.0025212,0.00195285,0.00270302
0.0025522,0.00197115,0.00272846
0.00258357,0.00198959,0.00275411
0.00261533,0.00200819,0.00277998
0.00264748,0.00202695,0.00280607
0.00268003,0.00204587,0.00283238
0.00271297,0.00206495,0.00285892
0.00274632,0.00208418,0.00288568
0.00278009,0.00210358,0.00291267
0.00281426,0.00212314,0.00293988
0.00284886,0.00214286,0.00296732
0.00288388,0.00216274,0.002995
0.00291933,0.00218279,0.0030229
0.00295522,0.00220301,0.00305104
0.00299155,0.0022234,0.00307942
0.00302833,0.00224395,0.00310803
0.00306555,0.00226467,0.00313687
0.00310324,0.00228556,0.00316596
0.00314139,0.00230663,0.00319529
0.00318001,0.00232786,0.00322487
0.0032191,0.00234928,0.00325468
0.00325867,0.00237086,0.00328474
0.00329873,0.00239262,0.00331505
0.00333928,0.00241456,0.00334561
0.00338033,0.00243668,0.00337642
0.00342189,0.00245897,0.00340748
0.00346396,0.00248145,0.0034388
0.00350654,0.0025041,0.00347037
0.00354965,0.00252694,0.0035022
0.00359328,0.00254996,0.00353428
0.00363746,0.00257317,0.00356663
0.00368217,0.00259656,0.00359923
0.00372744,0.00262014,0.0036321
0.00377326,0.0026439,0.00366523
0.00381964,0.00266786,0.00369863
0.0038666,0.002692,0.0037323
0.00391413,0.00271633,0.00376623
0.00396225,0.00274086,0.00380044
0.00401096,0.00276558,0.00383492
0.00406027,0.00279049,0.00386967
0.00411018,0.0028156,0.0039047
0.00416071,0.0028409,0.00394
0.00421186,0.0028664,0.00397558
0.00426364,0.0028921,0.00401144
0.00431605,0.00291799,0.00404758
0.00436911,0.00294409,0.00408401
0.00442282,0.00297039,0.00412072
0.00447719,0.00299689,0.00415771
0.00453223,0.00302359,0.00419499
0.00458794,0.0030505,0.00423256
0.00464434,0.00307761,0.00427042
0.00470144,0.00310492,0.00430858
0.00475923,0.00313245,0.00434702
0.00481774,0.00316018,0.00438576
0.00487697,0.00318812,0.00442479
0.00493692,0.00321627,0.00446413
0.00499761,0.00324463,0.00450376
0.00505905,0.00327321,0.00454369
0.00512124,0.00330199,0.00458392
0.0051842,0.00333099,0.00462446
0.00524793,0.00336021,0.0046653
0.00531244,0.00338963,0.00470644
0.00537775,0.00341928,0.00474789
0.00544386,0.00344914,0.00478965
0.00551078,0.00347922,0.00483172
0.00557853,0.00350952,0.00487411
0.0056471,0.00354004,0.0049168
0.00571652,0.00357078,0.00495981
0.0057868,0.00360174,0.00500313
0.00585794,0.00363293,0.00504677
0.00592995,0.00366433,0.00509072
0.00600285,0.00369596,0.005135
0.00607664,0.00372782,0.00517959
0.00615135,0.0037599,0.00522451
0.00622697,0.00379221,0.00526975
0.00630351,0.00382474,0.00531531
0.00638101,0.0038575,0.00536119
0.00645945,0.00389049,0.0054074
0.00653886,0.00392371,0.00545394
0.00661924,0.00395716,0.00550081
0.00670061,0.00399084,0.005548
0.00678298,0.00402475,0.00559553
0.00686637,0.00405889,0.00564338
0.00695078,0.00409326,0.00569157
0.00703623,0.00412787,0.00574009
0.00712272,0.00416271,0.00578894
0.00721029,0.00419778,0.00583813
0.00729892,0.00423309,0.00588766
0.00738865,0.00426864,0.00593752
0.00747948,0.00430442,0.00598771
0.00757143,0.00434043,0.00603825
0.00766451,0.00437668,0.00608912
0.00775873,0.00441317,0.00614034
0.00785411,0.00444989,0.00619189
0.00795066,0.00448686,0.00624379
0.0080484,0.00452406,0.00629602
0.00814734,0.0045615,0.0063486
0.0082475,0.00459917,0.00640153
0.00834889,0.00463709,0.00645479
0.00845152,0.00467525,0.0065084
0.00855542,0.00471364,0.00656235
0.00866059,0.00475227,0.00661665
0.00876706,0.00479115,0.00667129
0.00887483,0.00483026,0.00672628
0.00898393,0.00486961,0.00678161
0.00909438,0.0049092,0.00683729
0.00920617,0.00494903,0.00689332
0.00931935,0.00498911,0.00694969
0.00943391,0.00502942,0.00700641
0.00954989,0.00506997,0.00706347
0.00966729,0.00511076,0.00712088
0.00978613,0.00515179,0.00717864
0.00990643,0.00519306,0.00723674
0.0100282,0.00523457,0.00729519
0.0101515,0.00527631,0.00735399
0.0102763,0.0053183,0.00741313
0.0104026,0.00536052,0.00747262
0.0105305,0.00540298,0.00753245
0.01066,0.00544568,0.00759263
0.010791,0.00548862,0.00765315
0.0109237,0.00553179,0.00771401
0.0110579,0.00557519,0.00777522
0.0111939,0.00561884,0.00783677
0.0113315,0.00566271,0.00789866
0.0114708,0.00570682,0.0079609
0.0116118,0.00575117,0.00802347
0.0117545,0.00579574,0.00808638
0.011899,0.00584055,0.00814963
0.0120453,0.00588558,0.00821322
0.0121934,0.00593085,0.00827715
0.0123433,0.00597634,0.00834141
0.012495,0.00602207,0.008406
0.0126486,0.00606802,0.00847093
0.0128041,0.00611419,0.00853618
0.0129615,0.00616059,0.00860177
0.0131209,0.00620721,0.00866768
0.0132822,0.00625405,0.00873392
0.0134455,0.00630111,0.00880048
0.0136107,0.00634839,0.00886737
0.0137781,0.00639589,0.00893458
0.0139474,0.0064436,0.0090021
0.0141189,0.00649152,0.00906995
0.0142925,0.00653966,0.0091381
0.0144682,0.00658801,0.00920657
0.014646,0.00663656,0.00927535
0.0148261,0.00668532,0.00934443
0.0150083,0.00673429,0.00941382
0.0151928,0.00678346,0.00948351
0.0153796,0.00683283,0.0095535
0.0155687,0.00688239,0.00962379
0.0157601,0.00693215,0.00969437
0.0159538,0.00698211,0.00976523
0.0161499,0.00703225,0.00983639
0.0163485,0.00708259,0.00990783
0.0165494,0.00713311,0.00997955
0.0167529,0.00718381,0.0100515
0.0169588,0.00723469,0.0101238
0.0171673,0.00728575,0.0101963
0.0173784,0.00733699,0.0102691
0.017592,0.00738839,0.0103422
0.0178083,0.00743996,0.0104155
0.0180272,0.0074917,0.0104891
0.0182488,0.0075436,0.0105629
0.0184731,0.00759566,0.010637
0.0187002,0.00764787,0.0107113
0.0189301,0.00770024,0.0107858
0.0191628,0.00775275,0.0108606
0.0193984,0.0078054,0.0109356
0.0196369,0.0078582,0.0110108
0.0198783,0.00791113,0.0110862
0.0201226,0.00796419,0.0111618
0.02037,0.00801738,0.0112376
0.0206204,0.0080707,0.0113136
0.0208739,0.00812413,0.0113899
0.0211305,0.00817768,0.0114662
0.0213903,0.00823133,0.0115428
0.0216532,0.00828509,0.0116196
0.0219194,0.00833896,0.0116965
0.0221889,0.00839291,0.0117735
0.0224617,0.00844696,0.0118507
0.0227378,0.00850109,0.0119281
0.0230173,0.00855531,0.0120056
0.0233003,0.00860959,0.0120832
0.0235867,0.00866395,0.0121609
0.0238767,0.00871837,0.0122388
0.0241702,0.00877285,0.0123167
0.0244673,0.00882737,0.0123948
0.0247681,0.00888195,0.0124729
0.0250726,0.00893656,0.0125511
0.0253808,0.00899121,0.0126294
0.0256928,0.00904588,0.0127078
0.0260086,0.00910057,0.0127862
0.0263284,0.00915528,0.0128646
0.026652,0.00920999,0.0129431
0.0269797,0.0092647,0.0130216
0.0273113,0.00931941,0.0131001
0.0276471,0.0093741,0.0131786
0.027987,0.00942877,0.0132571
0.028331,0.0094834,0.0133355
0.0286793,0.00953801,0.013414
0.0290319,0.00959256,0.0134924
0.0293888,0.00964707,0.0135708
0.02975,0.00970151,0.0136491
0.0301158,0.00975589,0.0137273
0.030486,0.00981018,0.0138054
0.0308608,0.00986439,0.0138834
0.0312401,0.00991851,0.0139613
0.0316242,0.00997252,0.0140391
0.0320129,0.0100264,0.0141168
0.0324065,0.0100802,0.0141943
0.0328049,0.0101339,0.0142716
0.0332081,0.0101874,0.0143488
0.0336164,0.0102407,0.0144257
0.0340296,0.0102939,0.0145025
0.034448,0.010347,0.014579
0.0348714,0.0103998,0.0146553
0.0353001,0.0104525,0.0147314
0.0357341,0.0105049,0.0148071
0.0361734,0.0105572,0.0148826
0.0366181,0.0106092,0.0149578
0.0370682,0.010661,0.0150327
0.0375239,0.0107126,0.0151073
0.0379852,0.0107639,0.0151815
0.0384521,0.0108149,0.0152553
0.0389248,0.0108657,0.0153288
0.0394034,0.0109161,0.0154019
0.0398878,0.0109663,0.0154745
0.0403781,0.0110162,0.0155468
0.0408745,0.0110657,0.0156185
0.041377,0.0111149,0.0156898
0.0418856,0.0111637,0.0157606
0.0424005,0.0112122,0.0158309
0.0429218,0.0112603,0.0159007
0.0434494,0.0113081,0.01597
0.0439835,0.0113554,0.0160386
0.0445242,0.0114023,0.0161067
0.0450716,0.0114488,0.0161742
0.0456257,0.0114948,0.0162411
0.0461866,0.0115404,0.0163073
0.0467543,0.0115856,0.0163728
0.0473291,0.0116302,0.0164376
0.0479109,0.0116743,0.0165018
0.0484999,0.011718,0.0165652
0.0490961,0.0117611,0.0166278
0.0496997,0.0118037,0.0166897
0.0503107,0.0118457,0.0167508
0.0509291,0.0118871,0.016811
0.0515552,0.011928,0.0168704
0.052189,0.0119682,0.016929
0.0528306,0.0120079,0.0169866
0.05348,0.0120469,0.0170433
0.0541375,0.0120853,0.0170991
0.054803,0.012123,0.0171539
0.0554767,0.01216,0.0172078
0.0561587,0.0121964,0.0172606
0.0568491,0.012232,0.0173124
0.0575479,0.0122669,0.0173631
0.0582554,0.0123011,0.0174127
0.0589715,0.0123345,0.0174612
0.0596965,0.0123672,0.0175085
0.0604303,0.012399,0.0175547
0.0611732,0.0124301,0.0175997
0.0619252,0.0124603,0.0176435
0.0626865,0.0124897,0.017686
0.0634571,0.0125182,0.0177273
0.0642372,0.0125458,0.0177672
0.0650269,0.0125726,0.0178058
0.0658263,0.0125984,0.0178431
0.0666355,0.0126233,0.0178789
0.0674547,0.0126473,0.0179134
0.0682839,0.0126703,0.0179464
0.0691233,0.0126924,0.017978
0.0699731,0.0127134,0.018008
0.0708333,0.0127335,0.0180365
0.0717041,0.0127525,0.0180635
0.0725855,0.0127705,0.0180889
0.0734778,0.0127874,0.0181127
0.0743811,0.0128032,0.0181349
0.0752955,0.0128179,0.0181553
0.0762211,0.0128315,0.0181741
0.0771581,0.012844,0.0181912
0.0781067,0.0128553,0.0182065
0.0790668,0.0128655,0.0182201
0.0800388,0.0128744,0.0182318
0.0810228,0.0128822,0.0182417
0.0820188,0.0128888,0.0182497
0.0830271,0.0128941,0.0182559
0.0840478,0.0128982,0.0182601
0.085081,0.012901,0.0182624
0.0861269,0.0129025,0.0182627
0.0871857,0.0129027,0.0182609
0.0882575,0.0129017,0.0182572
0.0893424,0.0128992,0.0182514
0.0904407,0.0128955,0.0182435
0.0915526,0.0128903,0.0182336
0.092678,0.0128838,0.0182214
0.0938173,0.0128759,0.0182072
0.0949707,0.0128666,0.0181907
0.0961382,0.0128559,0.018172
0.09732,0.0128437,0.0181511
0.0985164,0.0128301,0.0181279
0.0997275,0.012815,0.0181025
0.100953,0.0127985,0.0180747
0.102194,0.0127804,0.0180446
0.103451,0.0127609,0.0180121
0.104723,0.0127398,0.0179773
0.10601,0.0127172,0.01794
0.107313,0.0126931,0.0179004
0.108632,0.0126674,0.0178583
0.109968,0.0126402,0.0178137
0.11132,0.0126113,0.0177667
0.112688,0.0125809,0.0177172
0.114073,0.0125489,0.0176652
0.115476,0.0125153,0.0176106
0.116895,0.0124801,0.0175535
0.118332,0.0124433,0.0174938
0.119787,0.0124049,0.0174316
0.12126,0.0123648,0.0173668
0.12275,0.0123231,0.0172994
0.124259,0.0122798,0.0172294
0.125787,0.0122348,0.0171568
0.127333,0.0121881,0.0170815
0.128898,0.0121398,0.0170037
0.130483,0.0120898,0.0169231
0.132087,0.0120382,0.01684
0.133711,0.0119849,0.0167542
0.135355,0.01193,0.0166658
0.137019,0.0118734,0.0165747
0.138703,0.0118151,0.0164809
0.140408,0.0117551,0.0163846
0.142134,0.0116935,0.0162855
0.143881,0.0116303,0.0161839
0.14565,0.0115654,0.0160796
0.147441,0.0114988,0.0159727
0.149253,0.0114306,0.0158632
0.151088,0.0113608,0.0157511
0.152945,0.0112893,0.0156364
0.154826,0.0112162,0.0155191
0.156729,0.0111415,0.0153993
0.158656,0.0110652,0.015277
0.160606,0.0109873,0.0151521
0.16258,0.0109079,0.0150247
0.164579,0.0108268,0.0148949
0.166602,0.0107443,0.0147626
0.16865,0.0106601,0.0146279
0.170724,0.0105745,0.0144909
0.172822,0.0104874,0.0143515
0.174947,0.0103987,0.0142097
