r,N_gbw
1.36501e-05,5.89724e-05
1.40329e-05,6.06263e-05
1.44264e-05,6.23266e-05
1.4831e-05,6.40745e-05
1.5247e-05,6.58714e-05
1.56746e-05,6.77188e-05
1.61141e-05,6.96179e-05
1.65661e-05,7.15703e-05
1.70307e-05,7.35775e-05
1.75083e-05,7.56409e-05
1.79993e-05,7.77623e-05
1.85041e-05,7.99431e-05
1.9023e-05,8.21851e-05
1.95565e-05,8.44899e-05
2.0105e-05,8.68594e-05
2.06688e-05,8.92953e-05
2.12485e-05,9.17996e-05
2.18444e-05,9.43741e-05
2.2457e-05,9.70208e-05
2.30868e-05,9.97417e-05
2.37342e-05,0.000102539
2.43999e-05,0.000105415
2.50842e-05,0.000108371
2.57876e-05,0.00011141
2.65108e-05,0.000114535
2.72543e-05,0.000117747
2.80187e-05,0.000121049
2.88044e-05,0.000124444
2.96123e-05,0.000127934
3.04427e-05,0.000131521
3.12965e-05,0.00013521
3.21742e-05,0.000139002
3.30765e-05,0.0001429
3.40041e-05,0.000146908
3.49578e-05,0.000151027
3.59381e-05,0.000155263
3.6946e-05,0.000159617
3.79822e-05,0.000164094
3.90474e-05,0.000168696
4.01424e-05,0.000173427
4.12682e-05,0.00017829
4.24256e-05,0.00018329
4.36154e-05,0.000188431
4.48386e-05,0.000193715
4.6096e-05,0.000199148
4.73888e-05,0.000204733
4.87178e-05,0.000210474
5.00841e-05,0.000216377
5.14887e-05,0.000222445
5.29327e-05,0.000228683
5.44171e-05,0.000235097
5.59433e-05,0.00024169
5.75122e-05,0.000248468
5.91251e-05,0.000255436
6.07832e-05,0.0002626
6.24879e-05,0.000269964
6.42403e-05,0.000277535
6.60419e-05,0.000285318
6.78941e-05,0.00029332
6.97981e-05,0.000301546
7.17556e-05,0.000310003
7.3768e-05,0.000318697
7.58368e-05,0.000327634
7.79636e-05,0.000336823
8.01501e-05,0.000346268
8.23979e-05,0.000355979
8.47087e-05,0.000365963
8.70843e-05,0.000376226
8.95266e-05,0.000386777
9.20373e-05,0.000397624
9.46185e-05,0.000408775
9.7272e-05,0.000420238
0.0001,0.000432024
0.000102804,0.000444139
0.000105688,0.000456595
0.000108652,0.0004694
0.000111699,0.000482564
0.000114831,0.000496097
0.000118052,0.00051001
0.000121362,0.000524312
0.000124766,0.000539016
0.000128265,0.000554132
0.000131862,0.000569673
0.00013556,0.000585649
0.000139362,0.000602072
0.00014327,0.000618957
0.000147288,0.000636315
0.000151419,0.00065416
0.000155665,0.000672505
0.000160031,0.000691365
0.000164519,0.000710753
0.000169133,0.000730686
0.000173876,0.000751177
0.000178753,0.000772243
0.000183766,0.0007939
0.000188919,0.000816164
0.000194217,0.000839052
0.000199664,0.000862582
0.000205264,0.000886772
0.00021102,0.00091164
0.000216938,0.000937206
0.000223022,0.000963489
0.000229277,0.000990509
0.000235707,0.00101829
0.000242317,0.00104684
0.000249113,0.0010762
0.000256099,0.00110638
0.000263282,0.00113741
0.000270665,0.0011693
0.000278256,0.00120209
0.00028606,0.00123581
0.000294082,0.00127046
0.000302329,0.00130609
0.000310808,0.00134272
0.000319525,0.00138037
0.000328486,0.00141908
0.000337698,0.00145888
0.000347169,0.00149979
0.000356905,0.00154185
0.000366914,0.00158508
0.000377204,0.00162953
0.000387783,0.00167523
0.000398658,0.00172221
0.000409838,0.0017705
0.000421332,0.00182015
0.000433148,0.0018712
0.000445296,0.00192367
0.000457784,0.00197761
0.000470622,0.00203307
0.000483821,0.00209008
0.00049739,0.00214869
0.000511339,0.00220895
0.000525679,0.00227089
0.000540422,0.00233457
0.000555578,0.00240004
0.000571159,0.00246734
0.000587177,0.00253653
0.000603644,0.00260766
0.000620573,0.00268078
0.000637977,0.00275596
0.000655869,0.00283324
0.000674262,0.00291269
0.000693172,0.00299436
0.000712612,0.00307833
0.000732597,0.00316465
0.000753142,0.00325339
0.000774264,0.00334461
